Wall time,Step,Value,Var
1707685600.30519,1,0.114278100430965,0.000254648679402
1707685600.30581,2,0.137670293450356,0.00037164700916
1707685600.30644,3,0.168130591511726,0.000480822869577
1707685600.30693,4,0.211896896362305,0.000764985510614
1707685600.30734,5,0.274041950702667,0.00097439030651
1707685600.30782,6,0.373071640729904,0.00153361260891
1707685600.30826,7,0.580974340438843,0.002647741464898
