variant,seed,depth,mse,se
mismatched,1,1,1.4564828872680664,0.013151110149919987
mismatched,1,2,0.939795196056366,0.008155601099133492
mismatched,1,4,0.28954893350601196,0.0026338824536651373
mismatched,1,8,0.24826142191886902,0.002812123391777277
mismatched,1,12,0.2038518637418747,0.0025261640548706055
mismatched,1,16,0.21515512466430664,0.0028366490732878447
mismatched,1,24,0.2164812982082367,0.0026306831277906895
mismatched,1,32,0.21549658477306366,0.0027470465283840895
