variant,seed,n_context,method,mse,se,episodes,parameters,eta,beta
mismatched,1,4,model,0.5981638431549072,0.005285971332341433,5120,1346,2.736037015914917,0.6676106452941895
mismatched,1,4,exact_krr,0.5093691349029541,0.0048563238233327866,5120,1346,2.736037015914917,0.6676106452941895
mismatched,1,4,nw,0.8431745767593384,0.009320670738816261,5120,1346,2.736037015914917,0.6676106452941895
mismatched,1,8,model,0.3597522974014282,0.003745403839275241,5120,1346,2.6940722465515137,0.6322363018989563
mismatched,1,8,exact_krr,0.24096937477588654,0.002969032619148493,5120,1346,2.6940722465515137,0.6322363018989563
mismatched,1,8,nw,0.4659807085990906,0.0053004608489573,5120,1346,2.6940722465515137,0.6322363018989563
mismatched,1,12,model,0.20998363196849823,0.0026924062985926867,5120,1346,2.6404402256011963,0.5936822295188904
mismatched,1,12,exact_krr,0.11569877713918686,0.001828607521019876,5120,1346,2.6404402256011963,0.5936822295188904
mismatched,1,12,nw,0.3233785927295685,0.0036051608622074127,5120,1346,2.6404402256011963,0.5936822295188904
mismatched,1,16,model,0.11902284622192383,0.0017590706702321768,5120,1346,2.5800111293792725,0.5560926795005798
mismatched,1,16,exact_krr,0.05450518801808357,0.001067071221768856,5120,1346,2.5800111293792725,0.5560926795005798
mismatched,1,16,nw,0.2600855827331543,0.0025812566746026278,5120,1346,2.5800111293792725,0.5560926795005798
mismatched,1,24,model,0.04390573501586914,0.0008563586743548512,5120,1346,2.4454329013824463,0.4868202805519104
mismatched,1,24,exact_krr,0.01771322824060917,0.0003796559467446059,5120,1346,2.4454329013824463,0.4868202805519104
mismatched,1,24,nw,0.21189112961292267,0.001771522220224142,5120,1346,2.4454329013824463,0.4868202805519104
