depth,mode,n_context,x_dim,lengthscale,lam,mse_to_exact,mse_to_yq,rel_to_exact
1,rowcond,64,1,0.25,0.02,0.21734868735074997,0.2409510686993599,1.707321584224701
1,unprecond,64,1,0.25,0.02,0.4749130383133888,0.4975012391805649,3.7641094028949738
2,rowcond,64,1,0.25,0.02,0.1207911316305399,0.14362210780382156,1.3017376810312271
2,unprecond,64,1,0.25,0.02,0.41201064735651016,0.4389465004205704,1.5195998847484589
4,rowcond,64,1,0.25,0.02,0.05782291013747454,0.08335421979427338,1.120325744152069
4,unprecond,64,1,0.25,0.02,0.3334921598434448,0.34687700122594833,1.8217828571796417
8,rowcond,64,1,0.25,0.02,0.02752392366528511,0.05009685084223747,0.6465335264801979
8,unprecond,64,1,0.25,0.02,0.28934232890605927,0.31008051335811615,1.7794419527053833
16,rowcond,64,1,0.25,0.02,0.01241581211797893,0.03757713921368122,0.5913410261273384
16,unprecond,64,1,0.25,0.02,0.2793940417468548,0.3045593574643135,2.0283152908086777
32,rowcond,64,1,0.25,0.02,0.005808932590298355,0.029514587949961424,0.5221265442669392
32,unprecond,64,1,0.25,0.02,0.2532600648701191,0.2746923938393593,1.890112817287445
64,rowcond,64,1,0.25,0.02,0.0023664062027819455,0.026145476382225752,0.24694448336958885
64,unprecond,64,1,0.25,0.02,0.21773477643728256,0.2449728064239025,1.9547845423221588
