sigma,sample_size,minimum_risk,optimal_time,aligned_asymptotic_time,time_ratio
0.0,24,0.5996910293186277,0.18661299444581808,0.16666666666666666,1.1196779666749086
0.0,32,0.5409431614155741,0.18661299444581808,0.16666666666666666,1.1196779666749086
0.0,43,0.485730435713989,0.19021687561941247,0.16666666666666666,1.1413012537164748
0.0,59,0.43200727708474385,0.19389035515914396,0.16666666666666666,1.163342130954864
0.0,80,0.38509649516825434,0.19763477715277125,0.16666666666666666,1.1858086629166276
0.0,108,0.3430831135022874,0.2014515116451551,0.16666666666666666,1.2087090698709306
0.0,147,0.30391396715031893,0.20534195513954376,0.16666666666666666,1.2320517308372627
0.0,199,0.26902182639542593,0.21334969051492736,0.16666666666666666,1.2800981430895642
0.0,269,0.23751394448541244,0.21746991234257815,0.16666666666666666,1.304819474055469
0.0,364,0.20882153156103003,0.22595060255984917,0.16666666666666666,1.3557036153590951
0.0,493,0.182711956275216,0.2392957527800438,0.16666666666666666,1.435774516680263
0.0,667,0.15910607983920957,0.25342909755418946,0.16666666666666666,1.520574585325137
0.0,903,0.13762818808573443,0.268397189423443,0.16666666666666666,1.610383136540658
0.0,1222,0.11814989576770425,0.2897387702889159,0.16666666666666666,1.7384326217334956
0.0,1653,0.10047282852833245,0.3188176994187151,0.16666666666666666,1.9129061965122904
0.0,2237,0.08437742348459543,0.3575900260172408,0.16666666666666666,2.1455401561034453
0.0,3027,0.06975179559433331,0.4167184168684901,0.16666666666666666,2.5003105012109406
0.0,4096,0.05648034960190279,0.514305867251647,0.16666666666666666,3.0858352035098817
0.01,24,0.5993640774297805,0.18661299444581808,0.16666666666666666,1.1196779666749086
0.01,32,0.5405680499689286,0.19021687561941247,0.16666666666666666,1.1413012537164748
0.01,43,0.4853094337677094,0.19021687561941247,0.16666666666666666,1.1413012537164748
0.01,59,0.43153999118161124,0.19389035515914396,0.16666666666666666,1.163342130954864
0.01,80,0.38459224686548754,0.19763477715277125,0.16666666666666666,1.1858086629166276
0.01,108,0.3425535992710408,0.2014515116451551,0.16666666666666666,1.2087090698709306
0.01,147,0.3033764880982706,0.20534195513954376,0.16666666666666666,1.2320517308372627
0.01,199,0.2685027432360646,0.21334969051492736,0.16666666666666666,1.2800981430895642
0.01,269,0.23705532796559625,0.21746991234257815,0.16666666666666666,1.304819474055469
0.01,364,0.20848759634150302,0.22595060255984917,0.16666666666666666,1.3557036153590951
0.01,493,0.182599968022041,0.2347620148792564,0.16666666666666666,1.4085720892755385
0.01,667,0.15934818878389825,0.24391704649501864,0.16666666666666666,1.463502278970112
0.01,903,0.138415560483179,0.25342909755418946,0.16666666666666666,1.520574585325137
0.01,1222,0.11972960222254334,0.2583233352584225,0.16666666666666666,1.549940011550535
0.01,1653,0.10315188354183852,0.268397189423443,0.16666666666666666,1.610383136540658
0.01,2237,0.08852063573126943,0.27358049180215077,0.16666666666666666,1.6414829508129047
0.01,3027,0.07574233260520892,0.278863894422619,0.16666666666666666,1.673183366535714
0.01,4096,0.06467408691813643,0.278863894422619,0.16666666666666666,1.673183366535714
0.025,24,0.5983279828259538,0.18661299444581808,0.16666666666666666,1.1196779666749086
0.025,32,0.5394028693073559,0.19021687561941247,0.16666666666666666,1.1413012537164748
0.025,43,0.484016624381277,0.19389035515914396,0.16666666666666666,1.163342130954864
0.025,59,0.4301005120643392,0.19389035515914396,0.16666666666666666,1.163342130954864
0.025,80,0.38302012377964073,0.2014515116451551,0.16666666666666666,1.2087090698709306
0.025,108,0.34087628161554256,0.20534195513954376,0.16666666666666666,1.2320517308372627
0.025,147,0.30164370649724404,0.2093075311085384,0.16666666666666666,1.2558451866512303
