seed,refinements,step,loss,energy,cvar,query
0,2,1,4.3351352360332385e-05,1.185683868243359e-05,9.150601545115933e-05,1.319331113336375e-05
0,2,100,3.3816522773122415e-05,1.1057827578042634e-05,5.1662711484823376e-05,1.2426152352418285e-05
0,2,200,3.211393050150946e-05,1.0054804079118185e-05,5.679563037119806e-05,1.0700003258534707e-05
0,2,300,2.0976234736735933e-05,8.022043402888812e-06,4.398356395540759e-05,4.1574785427656025e-06
0,2,400,2.2980868379818276e-05,6.699677669530502e-06,3.5148317692801356e-05,9.251527444575913e-06
0,2,500,2.4650573323015124e-05,7.641550837433897e-06,4.620293839252554e-05,7.768434443278238e-06
0,2,600,3.031490086868871e-05,9.752995538292453e-06,6.736449722666293e-05,7.089005066518439e-06
0,2,700,2.444468736939598e-05,8.778108167462051e-06,5.119155321153812e-05,5.428268195828423e-06
0,2,800,4.920212086290121e-05,1.265128048544284e-05,9.899649012368172e-05,1.675154453550931e-05
1,2,1,2.9177921533118933e-05,8.94143340701703e-06,5.6395194405922666e-05,8.957449608715251e-06
1,2,100,5.4497802921105176e-05,1.1604441169765778e-05,7.730110519332811e-05,2.7433141440269537e-05
1,2,200,3.9277128962567076e-05,1.1123861440864857e-05,6.370311893988401e-05,1.5412642824230716e-05
1,2,300,3.624193777795881e-05,9.774935278983321e-06,5.650787352351472e-05,1.5165426702878904e-05
1,2,400,3.243950050091371e-05,1.0365984053350985e-05,6.313416815828532e-05,9.44668227020884e-06
1,2,500,3.8354941352736205e-05,1.1472669939394109e-05,9.237469203071669e-05,8.40733355289558e-06
1,2,600,3.154439036734402e-05,1.1002184692188166e-05,7.121214002836496e-05,6.2997792156238575e-06
1,2,700,3.738655868801288e-05,1.1007972716470249e-05,7.1795227995608e-05,1.2019539099128451e-05
1,2,800,3.337706220918335e-05,1.0123184438270982e-05,6.466470949817449e-05,1.032093587127747e-05
2,2,1,4.6694032789673656e-05,1.0601796020637266e-05,6.105784268584102e-05,2.38806660490809e-05
2,2,100,2.0776204110006802e-05,7.40410450816853e-06,4.424865255714394e-05,4.522370090853656e-06
2,2,200,3.0102315577096306e-05,9.83354402706027e-06,5.6806980865076184e-05,8.907374649425037e-06
2,2,300,2.5614224796299823e-05,7.670502782275435e-06,4.5558517740573734e-05,8.83201755641494e-06
2,2,400,2.6402236471767537e-05,9.3617109087063e-06,5.8194942539557815e-05,5.401537691795966e-06
2,2,500,4.0718641685089096e-05,9.611210771254264e-06,7.188190647866577e-05,1.673104998189956e-05
2,2,600,2.8141246730228886e-05,7.898146577645093e-06,4.785109922522679e-05,1.0672880307538435e-05
2,2,700,2.7736397896660492e-05,9.123008567257784e-06,5.025314385420643e-05,8.562762559449766e-06
2,2,800,3.187782931490801e-05,9.703884643386118e-06,5.456378130475059e-05,1.1261187864874955e-05
