name,model,optimizer,dim,target,freq,depth,width,rank,steps,batch_size,lr,seed,fix_wb,nparams,ntrainable,final_train_mse,test_mse,test_max_error,grad_effective_rank,grad_top_singular,elapsed_sec
mmnn_adamw_cos1d_d1_f4_r4_w64_L2_bs32_steps2_fixWb_s0,mmnn,adamw,1,cos1d,4,2,64,4,2,32,0.001,0,True,1353,585,0.5388854146003723,0.4938797056674957,1.0077728033065796,1.095773155927375,0.06670933216810226,0.32079362869262695
mmnn_lowrank_muon_cos1d_d1_f4_r4_w64_L2_bs32_steps2_fixWb_s0,mmnn,lowrank_muon,1,cos1d,4,2,64,4,2,32,0.01,0,True,1353,585,0.5386596322059631,0.4938802719116211,1.0153993368148804,1.1174882087248867,0.057020808259646096,0.0056192874908447266
