model,scenario,category,n_tasks,balanced_brier_mean,balanced_brier_ci95,balanced_brier_q10,balanced_nll_mean,balanced_nll_ci95,balanced_nll_q10,balanced_ece_mean,balanced_ece_ci95,balanced_ece_q10,uncertainty_error_auc_mean,uncertainty_error_auc_ci95,uncertainty_error_auc_q10,credible_confident_fraction_mean,credible_confident_fraction_ci95,credible_confident_fraction_q10,credible_selective_accuracy_mean,credible_selective_accuracy_ci95,credible_selective_accuracy_q10,mean_score_std_mean,mean_score_std_ci95,mean_score_std_q10
exact,180-degree aperture,OOD aperture,16,0.06016776734031737,0.003390167309497754,0.049355434253811836,0.19809456542134285,0.011877978874216957,0.16120857000350952,0.06729779695160687,0.004706840729742571,0.05229351110756397,0.9107891611136271,0.006554765529129131,0.8990169797538217,0.75762939453125,0.007454650440229221,0.73876953125,0.957731306552887,0.006556126396840425,0.9405323565006256,0.07199662737548351,0.0005139648797667028,0.07067622989416122
exact,30% noise,OOD noise,16,0.03601471963338554,0.0025794349044809747,0.029415897093713284,0.12865543505176902,0.010742157844108239,0.10126308724284172,0.043573161819949746,0.003490432403910054,0.03610552102327347,0.9429095357810875,0.0035123903152380225,0.9331629564716817,0.87200927734375,0.0036083536726016423,0.86181640625,0.9689726680517197,0.003971140358677296,0.9585161507129669,0.06354332342743874,0.00033701475043193145,0.06284204497933388
exact,four obstacles,ID,16,0.022478325990960002,0.0024513852045737385,0.017411514185369015,0.0884245210327208,0.005998186418290292,0.07423756644129753,0.045669915387406945,0.004302104718822128,0.03659205138683319,0.9761701791589692,0.004330089019975478,0.9647013736640175,0.89312744140625,0.00807348890840063,0.87353515625,0.9992440156638622,0.00047126572838000134,0.9977961182594299,0.05931993667036295,0.0005558944595401884,0.05763614736497402
exact,heteroscedastic noise,OOD noise,16,0.017362076265271753,0.0016444863027118718,0.013965471647679806,0.06759653543122113,0.004649510797078507,0.0575234591960907,0.031775193056091666,0.0026770785034370206,0.026315915398299694,0.9718626221303095,0.0028578983111475055,0.9659974056522376,0.891357421875,0.004940543480139649,0.8837890625,0.9976044781506062,0.001722148240324691,0.9944944977760315,0.0650118188932538,0.0004081857171438687,0.06414581462740898
exact,mirrored kites,lsmlab-inspired,16,0.015213333419524133,0.0013860101403597132,0.011882416438311338,0.05913254921324551,0.004048047214132316,0.05016713961958885,0.024747478775680065,0.001977102121322351,0.019524674862623215,0.9776360426037679,0.0021454203579672772,0.9724466169447403,0.91729736328125,0.0035410964544195294,0.9091796875,0.9970034994184971,0.0008556014012740328,0.9951820075511932,0.06684140302240849,0.0003484571615762549,0.06610583513975143
exact,one obstacle,ID,16,0.17876176070421934,0.0053474116457741284,0.16584663838148117,0.46272642351686954,0.011186696700391548,0.43621309101581573,0.30345122143626213,0.004342924689749549,0.29282650351524353,0.9998523958899188,0.00013587257908367098,0.9994209754383512,0.94573974609375,0.009192763410336603,0.9208984375,0.9999999888241291,1.1773426224786906e-08,0.9999999403953552,0.08270771289244294,0.00036272728405861953,0.08195020630955696
exact,six obstacles,OOD count,16,0.05494661792181432,0.007599236301532555,0.03592544049024582,0.1782130217179656,0.019961650577488582,0.12701234221458435,0.05115042254328728,0.004635902449900315,0.04003046825528145,0.9504874374124465,0.004177246921481919,0.9416268879604188,0.8302001953125,0.01384542878981802,0.79833984375,0.9920385107398033,0.0021762729368458964,0.987900584936142,0.05716305831447244,0.0004662146990475094,0.05622106045484543
exact,three obstacles,ID,16,0.017890313640236855,0.0019155092503890055,0.013701465912163258,0.07308887015096843,0.005264609252098714,0.06070338934659958,0.03676704375538975,0.002230193831721336,0.03220008872449398,0.9731506611061983,0.0037017412228943,0.9670144154436103,0.893798828125,0.005972825820741143,0.8798828125,0.9989708140492439,0.0006652966469574499,0.9972617626190186,0.06254220241680741,0.0004546512296523579,0.061228081583976746
exact,three stars,OOD shape,16,0.027233349916059524,0.003132901512114928,0.018867271952331066,0.09943568194285035,0.009016088690787608,0.0762607753276825,0.03168777353130281,0.003005486865618777,0.025130881927907467,0.9655759026081612,0.002950015061410463,0.9588636344925245,0.88397216796875,0.00723433494144826,0.86767578125,0.994668036699295,0.0019902160527685443,0.9878316223621368,0.0629468485713005,0.0004951481722757032,0.06205259449779987
exact,two crescents,OOD shape,16,0.017271622316911817,0.0013373163331698754,0.014458782970905304,0.06858513364568353,0.004547165684285891,0.05593534745275974,0.019818734377622604,0.0017082664807589523,0.015331387985497713,0.9716672163938983,0.0024853717870071796,0.9659546319536036,0.92529296875,0.007002260478929546,0.91015625,0.9898605719208717,0.0019016752094753906,0.9853399693965912,0.06536134984344244,0.0007851004338282591,0.0633736103773117
exact,two obstacles,ID,16,0.01477145467652008,0.002000720816988448,0.009469687007367611,0.05707270558923483,0.005895420883455675,0.04179041460156441,0.025519950839225203,0.0023071960935576565,0.020742280408740044,0.9784759901821769,0.004084881331082844,0.9676035257954034,0.9156494140625,0.00755968872865905,0.896484375,0.9968333169817924,0.0015264229884845288,0.9929615557193756,0.06688847346231341,0.0003754092797830272,0.06589813530445099
exact,wavenumber 12,OOD frequency,16,0.029348786221817136,0.004056360101821147,0.020759806968271732,0.10678732581436634,0.01135496303218082,0.08431376516819,0.07510792091488838,0.004863760762188496,0.06411972641944885,0.990910157405941,0.00276783083247061,0.9846762756487335,0.95709228515625,0.002274627601270563,0.951171875,0.9999363347887993,0.00012473708473250805,0.9999999403953552,0.05403094016946852,0.00035874051417278093,0.05325622111558914
