model,seed,scenario,category,task,threshold,balanced_brier,balanced_nll,balanced_ece,uncertainty_error_auc,credible_confident_fraction,credible_selective_accuracy,mean_score_std
foundation,17,one obstacle,ID,0,-1.6260021924972534,0.11792363971471786,0.34244728088378906,0.25263822078704834,1.0,0.9091796875,1.0,0.08288788050413132
foundation,17,one obstacle,ID,1,-1.6260021924972534,0.1312231421470642,0.3674975037574768,0.26385051012039185,0.9973804846103469,0.939453125,1.0,0.08208532631397247
foundation,17,one obstacle,ID,2,-1.6260021924972534,0.1322692483663559,0.37306123971939087,0.26624834537506104,0.9951028403525956,0.90625,1.0,0.08261170983314514
foundation,17,one obstacle,ID,3,-1.6260021924972534,0.10881850123405457,0.325497567653656,0.2412862628698349,1.0,0.8828125,1.0,0.08360014855861664
foundation,17,one obstacle,ID,4,-1.6260021924972534,0.13454881310462952,0.3766324520111084,0.2686431407928467,0.9992149165848871,0.90234375,1.0,0.08194819837808609
foundation,17,one obstacle,ID,5,-1.6260021924972534,0.13148066401481628,0.3722561299800873,0.2686888873577118,0.9990176817288802,0.908203125,1.0,0.08295522630214691
foundation,17,one obstacle,ID,6,-1.6260021924972534,0.12249301373958588,0.35503408312797546,0.2555972933769226,0.9974484789008833,0.8740234375,1.0,0.08370493352413177
foundation,17,one obstacle,ID,7,-1.6260021924972534,0.11378265172243118,0.3311018943786621,0.2450476884841919,0.9931439764936337,0.927734375,0.9999999403953552,0.08194387704133987
foundation,17,one obstacle,ID,8,-1.6260021924972534,0.11712002754211426,0.34037846326828003,0.25006020069122314,0.9963235294117647,0.9140625,1.0,0.0831398218870163
foundation,17,one obstacle,ID,9,-1.6260021924972534,0.12058495730161667,0.3461794853210449,0.2530132532119751,0.9985265225933203,0.927734375,0.9999999403953552,0.08243383467197418
foundation,17,one obstacle,ID,10,-1.6260021924972534,0.12280943244695663,0.35157546401023865,0.25656506419181824,0.9963235294117647,0.939453125,1.0,0.08264334499835968
foundation,17,one obstacle,ID,11,-1.6260021924972534,0.1132795512676239,0.3351175785064697,0.24654518067836761,0.999016715830875,0.8564453125,1.0,0.0838669091463089
foundation,17,one obstacle,ID,12,-1.6260021924972534,0.11237575113773346,0.33169591426849365,0.2472018599510193,0.9980392156862745,0.8974609375,1.0,0.08302553743124008
