model,seed,scenario,category,count,wavenumber,noise,aperture_degrees,task,auc,average_precision,iou_top7,centroid_error,area_matched_iou,score_correlation_exact,relative_residual,success_ap80
small,17,one obstacle,ID,1,8.0,0.05,360.0,0,1.0,1.0,0.16666666666666666,0.003205811372026801,1.0,0.9999999735420093,0.002238486660644412,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,1,1.0,1.0,0.1388888888888889,0.03658725693821907,1.0,0.9999512000063534,0.02366247959434986,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,2,0.999630905511811,0.9659090909090909,0.1111111111111111,0.10247135907411575,0.7777777777777778,0.9999699775599533,0.00740543520078063,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,3,1.0,1.0,0.2222222222222222,0.0030412981286644936,1.0,0.9999999401335323,0.0032080733217298985,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,4,1.0,1.0,0.09722222222222222,0.15805256366729736,1.0,0.9999999746525846,0.0012760059908032417,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,5,1.0,1.0000000000000002,0.125,0.03309934213757515,1.0,0.9999902423290938,0.0036922069266438484,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,6,0.9993096646942801,0.9351301476301476,0.1388888888888889,0.002293899655342102,0.6666666666666666,0.9999886111944368,0.005978405475616455,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,7,1.0,1.0,0.2222222222222222,0.015109135769307613,1.0,0.9999714474495834,0.18181726336479187,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,8,1.0,1.0,0.18055555555555555,0.006506984122097492,1.0,0.9999976584449051,0.0036663012579083443,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,9,0.9999176548089591,0.9935897435897435,0.16666666666666666,0.034078449010849,0.8461538461538461,0.9999714164852491,0.014907500706613064,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,10,1.0,1.0,0.1388888888888889,0.054757680743932724,1.0,0.9999839642029339,0.007908509112894535,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,11,0.9992732077964982,0.9505266955266954,0.20833333333333334,0.003860349301248789,0.7647058823529411,0.9999906685832949,0.012169494293630123,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,12,1.0,1.0,0.19444444444444445,0.014138423837721348,1.0,0.9999565938116353,0.0373692512512207,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,13,1.0,1.0,0.09722222222222222,0.040610022842884064,1.0,0.9999582869368935,0.017313756048679352,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,14,0.999671592775041,0.9722222222222222,0.125,0.10535680502653122,0.8,0.9999188826938575,0.02153201214969158,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,15,1.0,1.0,0.2222222222222222,8.33000246558413e-09,1.0,0.999999979848415,0.002647672314196825,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,0,1.0,1.0,0.16666666666666666,0.003205811372026801,1.0,0.9999999751624892,0.0022280311677604914,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,1,1.0,1.0,0.1388888888888889,0.046434808522462845,1.0,0.9999534456961949,0.022630605846643448,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,2,0.999630905511811,0.9659090909090909,0.1111111111111111,0.11477596312761307,0.7777777777777778,0.9999754269101039,0.006949106231331825,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,3,1.0,1.0,0.2222222222222222,0.0030412981286644936,1.0,0.9999999552179449,0.003248905995860696,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,4,1.0,1.0,0.09722222222222222,0.15805256366729736,1.0,0.9999999763115947,0.0012745996937155724,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,5,1.0,1.0,0.125,0.039485134184360504,1.0,0.9999891636960118,0.0037110636476427317,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,6,0.9993096646942801,0.9351301476301476,0.1388888888888889,0.002293899655342102,0.6666666666666666,0.9999907668412312,0.006004617549479008,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,7,1.0,1.0,0.2222222222222222,0.015109135769307613,1.0,0.9999718117493065,0.17938165366649628,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,8,1.0,1.0,0.18055555555555555,0.006506984122097492,1.0,0.9999981287736954,0.0035062553361058235,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,9,0.9999176548089591,0.9935897435897435,0.16666666666666666,0.038802482187747955,0.8461538461538461,0.99997199695536,0.014714587479829788,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,10,1.0,1.0,0.1388888888888889,0.054757680743932724,1.0,0.9999832851757432,0.007683272939175367,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,11,0.9992732077964982,0.9505266955266954,0.20833333333333334,0.003860349301248789,0.7647058823529411,0.9999924430571928,0.012089734897017479,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,12,1.0,1.0,0.19444444444444445,0.014138423837721348,1.0,0.999959244409373,0.03701948747038841,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,13,1.0,1.0,0.09722222222222222,0.05154337361454964,1.0,0.9999613223336506,0.016982758417725563,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,14,0.999671592775041,0.9722222222222223,0.125,0.08581215143203735,0.8,0.9999291704609186,0.0231806468218565,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,15,1.0,1.0,0.2222222222222222,8.33000246558413e-09,1.0,0.9999999803298769,0.0026635725516825914,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,0,1.0,1.0,0.16666666666666666,0.003205811372026801,1.0,1.0,4.89024278067518e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,1,1.0,1.0,0.1388888888888889,0.046434808522462845,1.0,1.0,5.051427069702186e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,2,0.999630905511811,0.9659090909090909,0.1111111111111111,0.10247135907411575,0.7777777777777778,1.0,5.206292917137034e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,3,1.0,1.0,0.2222222222222222,0.0030412981286644936,1.0,1.0,5.022057666792534e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,4,1.0,1.0,0.09722222222222222,0.15805256366729736,1.0,1.0,5.262999184196815e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,5,1.0,1.0,0.125,0.03309934213757515,1.0,1.0,5.257190787233412e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,6,0.9993096646942801,0.9351301476301476,0.1388888888888889,0.010179199278354645,0.6666666666666666,1.0,5.093180516269058e-05,1.0
