model,seed,step,loss,ranking_loss,relative_residual,coefficient_mean,gradient_norm,elapsed_seconds,wavenumber,noise,aperture_degrees,mean_count
small,17,0,0.4101259112358093,0.3519156873226166,0.27037036418914795,0.00268280110321939,0.00015386669838335365,0.35600267798872665,6.0,0.12261567981145044,360.0,2.75
small,17,20,0.4262457489967346,0.2999274432659149,0.7266252040863037,0.0028042453341186047,4.807252116734162e-05,0.8698002769961022,8.0,0.10859410129845865,360.0,1.75
small,17,40,0.44587117433547974,0.30787017941474915,0.8932589888572693,0.0027939898427575827,0.0002314330922672525,1.3879227400175296,8.0,0.10917261695539027,360.0,2.5
small,17,60,0.39949339628219604,0.3263545632362366,0.3787500262260437,0.0028106546960771084,0.0004698059055954218,1.9086053980281577,6.0,0.15499391875327986,360.0,2.25
small,17,80,0.4406821131706238,0.2980377674102783,0.8290116190910339,0.002675992902368307,4.160506068728864e-05,2.408168755006045,8.0,0.18750922391837352,240.0,2.75
foundation,17,0,0.4098452627658844,0.3525469899177551,0.2650134563446045,0.02677140384912491,0.0014901224058121443,0.2375760090071708,6.0,0.12261567981145044,360.0,2.75
foundation,17,20,0.4261515438556671,0.2999095320701599,0.7271446585655212,0.025751277804374695,0.005271830130368471,0.8483215739834122,8.0,0.10859410129845865,360.0,1.75
foundation,17,40,0.4473522901535034,0.30764228105545044,0.9125567674636841,0.026541821658611298,0.001328516285866499,1.4179359929985367,8.0,0.10917261695539027,360.0,2.5
foundation,17,60,0.4015166759490967,0.3261380195617676,0.39067506790161133,0.02947835624217987,0.004966908134520054,2.0264569540158845,6.0,0.15499391875327986,360.0,2.25
foundation,17,80,0.43868008255958557,0.2971852421760559,0.8221395015716553,0.030195407569408417,0.00019353201787453145,2.621352472982835,8.0,0.18750922391837352,240.0,2.75
