high_frequency,frequency_gap,runs,uncensored_runs,censored_runs,median_plateau_steps,q25_plateau_steps,q75_plateau_steps
2,1,5,5,0,11.0,7.0,11.0
4,3,5,5,0,147.0,145.0,152.0
6,5,5,5,0,511.0,447.0,534.0
8,7,5,5,0,1127.0,1039.0,1141.0
12,11,5,5,0,3397.0,3007.0,3403.0
16,15,5,5,0,9355.0,9116.0,9411.0
