seed,high_frequency,frequency_gap,low_recovery_step,high_recovery_step,plateau_steps,censored,final_loss,final_low_coefficient,final_high_coefficient
0,2,1,6,13,7,False,5.671207645718823e-07,0.9999402761459351,0.49999070167541504
1,2,1,6,17,11,False,4.120950507058296e-06,0.9997498989105225,0.5001400113105774
2,2,1,7,12,5,False,4.255292651578202e-07,1.000160813331604,0.4999801516532898
3,2,1,7,21,14,False,4.983833605365362e-06,0.999900221824646,0.4998135268688202
4,2,1,6,17,11,False,3.506970074340643e-07,0.9999955296516418,0.5000293850898743
0,4,3,5,168,163,False,1.1181151648997911e-06,0.9997373819351196,0.4999539852142334
1,4,3,6,106,100,False,8.161362643477332e-07,0.9999951720237732,0.4999959468841553
2,4,3,7,159,152,False,1.0837663921847707e-06,0.9999961853027344,0.499991238117218
3,4,3,7,152,145,False,1.0458601309437654e-06,0.9995793104171753,0.5000362396240234
4,4,3,6,153,147,False,3.706594361574389e-05,1.0024023056030273,0.5002321004867554
0,6,5,5,539,534,False,2.7949859031650703e-06,1.0000414848327637,0.49999988079071045
1,6,5,6,453,447,False,1.3541499356506392e-05,0.9994794130325317,0.49985215067863464
2,6,5,7,599,592,False,5.1690658438019454e-06,1.0005683898925781,0.4999162554740906
3,6,5,7,518,511,False,0.0003622833755798638,0.9979234933853149,0.4993489384651184
4,6,5,6,442,436,False,3.3941598758246982e-06,0.9996630549430847,0.4999762773513794
0,8,7,5,1210,1205,False,0.00020125502487644553,1.0012218952178955,0.49968045949935913
1,8,7,5,932,927,False,2.0913696062052622e-05,0.9986730813980103,0.49980825185775757
2,8,7,7,1148,1141,False,1.2575161235872656e-05,0.9991968274116516,0.4999021291732788
3,8,7,7,1046,1039,False,1.1977220310654957e-05,1.0000581741333008,0.49983376264572144
4,8,7,6,1133,1127,False,7.094220563885756e-06,0.9999481439590454,0.499908447265625
0,12,11,5,3408,3403,False,2.850550845323596e-05,0.999976634979248,0.4993913769721985
1,12,11,6,3013,3007,False,8.849248115438968e-05,1.0004351139068604,0.4984026253223419
2,12,11,7,3418,3411,False,7.287457992788404e-05,0.9996125102043152,0.49896153807640076
3,12,11,7,2717,2710,False,6.888742063893005e-05,1.0000081062316895,0.49893850088119507
4,12,11,6,3403,3397,False,8.525558223482221e-05,1.0004889965057373,0.4987297058105469
0,16,15,5,9416,9411,False,0.00021068958449177444,1.0002938508987427,0.49467533826828003
1,16,15,6,9920,9914,False,0.0003882411983795464,1.0028170347213745,0.49042534828186035
2,16,15,7,9362,9355,False,0.0005725182127207518,1.00054931640625,0.48773664236068726
3,16,15,7,7416,7409,False,0.00024440966080874205,0.9998698234558105,0.4944099485874176
4,16,15,6,9122,9116,False,0.0001895054301712662,1.0007219314575195,0.49476078152656555
