frequency,frequency_gap,median_tangent_eigenvalue,q25_tangent_eigenvalue,q75_tangent_eigenvalue,median_saddle_index
1,0,8.818268775939941,8.479159355163574,8.882728576660156,0.11340094358752517
2,1,2.0731940269470215,1.9532424211502075,2.1817779541015625,0.4823475212653379
3,2,0.3800557255744934,0.2941688895225525,0.5787571668624878,2.631193092771848
4,3,0.23122325539588928,0.21835339069366455,0.24677659571170807,4.32482450040697
5,4,0.13740776479244232,0.135737806558609,0.1510773003101349,7.277609103899795
6,5,0.09051933884620667,0.06828392297029495,0.10214436799287796,11.047363057953957
7,6,0.053668491542339325,0.04784903675317764,0.054961979389190674,18.632906781273988
8,7,0.04933720827102661,0.04439495876431465,0.07526981830596924,20.268678245973078
9,8,0.040075719356536865,0.03566453605890274,0.041879042983055115,24.95276481760488
10,9,0.03452220559120178,0.014926373958587646,0.035107314586639404,28.96686300526687
11,10,0.02359139174222946,0.022264597937464714,0.024316221475601196,42.38834278733811
12,11,0.02955642342567444,0.021468203514814377,0.029985785484313965,33.83359297564202
13,12,0.018993906676769257,0.014026788994669914,0.02458866313099861,52.64846337394418
14,13,0.016129378229379654,0.013684622943401337,0.01686733216047287,61.99867011479094
15,14,0.014147967100143433,0.010866997763514519,0.015177405439317226,70.68153275461476
16,15,0.010984349995851517,0.007792305666953325,0.014613885432481766,91.03861406252278
17,16,0.007164133712649345,0.005757257342338562,0.007341813296079636,139.58421773093806
18,17,0.010528786107897758,0.006493998691439629,0.010841076262295246,94.97771060710303
19,18,0.00764900166541338,0.005418162792921066,0.011640604585409164,130.73601546221607
20,19,0.007397150620818138,0.004556326661258936,0.009600117802619934,135.18718913004886
21,20,0.006603047251701355,0.0028147436678409576,0.009936729446053505,151.44522852571407
22,21,0.006592141464352608,0.006399521604180336,0.010149220004677773,151.69577373415888
23,22,0.007878518663346767,0.0036444736178964376,0.011187206953763962,126.92741398866008
24,23,0.005833724047988653,0.003090222831815481,0.006807929370552301,171.4170899709902
25,24,0.00495095644146204,0.004505041986703873,0.005174210295081139,201.98117511708415
26,25,0.004541739821434021,0.0037602917291224003,0.004867861978709698,220.17993969638212
27,26,0.004973786883056164,0.004454387351870537,0.005316372960805893,201.05405066844077
28,27,0.0033914202358573675,0.002956518903374672,0.005057062953710556,294.8617188241773
29,28,0.004497838672250509,0.003774564014747739,0.004512685351073742,222.32900574436266
30,29,0.0025730980560183525,0.0019509666599333286,0.002856595441699028,388.63656892555963
31,30,0.0026623555459082127,0.00161258177831769,0.0035246973857283592,375.60723305228896
32,31,0.002973822643980384,0.0028024213388562202,0.0036189956590533257,336.26753163111505
