step,loss,coefficient_1,recovery_1,coefficient_4,recovery_4,coefficient_8,recovery_8,coefficient_16,recovery_16
0,0.358154296875,0.0015395141672343016,0.0015395141672343016,1.5289057046175003e-05,3.0578114092350006e-05,7.127644494175911e-05,0.0002036469855478832,3.005040343850851e-05,0.00012020161375403404
1,0.2515192925930023,0.24687935411930084,0.24687935411930084,1.1492986232042313e-05,2.2985972464084625e-05,0.0004451021086424589,0.0012717203104070257,0.0003068712539970875,0.00122748501598835
2,0.19048886001110077,0.4304407238960266,0.4304407238960266,0.0039426228031516075,0.007885245606303215,-0.00023363169748336077,-0.0006675191356667451,0.00014827371342107654,0.0005930948536843061
3,0.14462310075759888,0.6191102862358093,0.6191102862358093,0.009177180007100105,0.01835436001420021,0.00047241244465112686,0.0013497498418603626,0.0007882923819124699,0.0031531695276498795
4,0.11671896278858185,0.8066540956497192,0.8066540956497192,0.015789132565259933,0.03157826513051987,-0.0005453963531181216,-0.0015582752946232048,0.0007834326243028045,0.003133730497211218
5,0.10646272450685501,0.9863193035125732,0.9863193035125732,0.019513115286827087,0.039026230573654175,0.0003077124711126089,0.0008791784888931683,0.0001598031958565116,0.0006392127834260464
6,0.10894468426704407,1.130662441253662,1.130662441253662,0.024290474131703377,0.048580948263406754,0.0008271001279354095,0.002363143222672599,0.00042097410187125206,0.0016838964074850082
7,0.11519333720207214,1.230239748954773,1.230239748954773,0.031504660844802856,0.06300932168960571,0.0031417962163686752,0.008976560618196216,-9.632203727960587e-05,-0.00038528814911842346
8,0.12006737291812897,1.2851486206054688,1.2851486206054688,0.038498446345329285,0.07699689269065857,0.004690434318035841,0.013401240908673832,-0.00039235828444361687,-0.0015694331377744675
9,0.12164267897605896,1.297984004020691,1.297984004020691,0.04210394620895386,0.08420789241790771,0.004517821129411459,0.012908060369747027,-0.0010425499640405178,-0.004170199856162071
10,0.1196504533290863,1.2761554718017578,1.2761554718017578,0.04372500628232956,0.08745001256465912,0.0030005055014044046,0.008572872861155443,-0.0011265450157225132,-0.004506180062890053
11,0.11561200022697449,1.2288963794708252,1.2288963794708252,0.042375288903713226,0.08475057780742645,0.0018570369575172663,0.005305819878620761,0.0007222986314445734,0.0028891945257782936
12,0.11194497346878052,1.1656007766723633,1.1656007766723633,0.036064621061086655,0.07212924212217331,0.00189676764421165,0.005419336126319,0.0011943019926548004,0.004777207970619202
13,0.10937775671482086,1.0979589223861694,1.0979589223861694,0.027927342802286148,0.055854685604572296,0.003371714847162366,0.009633470991892474,0.0011575056705623865,0.004630022682249546
14,0.10779482871294022,1.035614013671875,1.035614013671875,0.02218499593436718,0.04436999186873436,0.004499435890465975,0.012855531115617071,6.137264426797628e-05,0.00024549057707190514
15,0.10678789019584656,0.9851518869400024,0.9851518869400024,0.01887315697968006,0.03774631395936012,0.005337914917618036,0.015251185478908675,0.00020052248146384954,0.0008020899258553982
16,0.10585151612758636,0.9533883333206177,0.9533883333206177,0.017921216785907745,0.03584243357181549,0.0058028362691402435,0.016579532197543555,0.0007660511182621121,0.0030642044730484486
17,0.10431890189647675,0.9403841495513916,0.9403841495513916,0.019701309502124786,0.03940261900424957,0.006833632476627827,0.019524664218936647,0.0013890221016481519,0.0055560884065926075
18,0.10271304845809937,0.942765474319458,0.942765474319458,0.02308584749698639,0.04617169499397278,0.007678654510527849,0.021939012887222428,0.0020123086869716644,0.008049234747886658
19,0.10155506432056427,0.9566462635993958,0.9566462635993958,0.02746475115418434,0.05492950230836868,0.00793495960533619,0.0226713131581034,0.0024509087670594454,0.009803635068237782
20,0.10113535076379776,0.975684404373169,0.975684404373169,0.03248331695795059,0.06496663391590118,0.007267783861607313,0.020765096747449467,0.0021617920137941837,0.008647168055176735
