hidden_rank,seed,final_test_mse,symmetry_mse,relative_symmetry_mse,epochs_run,name
10,42,0.0013395847054198384,0.0005224681226536632,0.00043107510716278397,620,f3_N768_bs4_L3_M1024_r10_seed42
10,43,0.0007717015687376261,0.00013071899593342096,0.00010946654012172481,639,f3_N768_bs4_L3_M1024_r10_seed43
10,44,0.0010727716144174337,4.198264650767669e-05,3.507901328563123e-05,666,f3_N768_bs4_L3_M1024_r10_seed44
10,45,0.001450070645660162,0.0001760055893100798,0.0001478729785253754,674,f3_N768_bs4_L3_M1024_r10_seed45
10,46,0.0008861357346177101,7.420332258334383e-05,6.189347809840467e-05,637,f3_N768_bs4_L3_M1024_r10_seed46
20,42,0.0011493362253531814,3.692873360705562e-05,3.087708351494005e-05,578,f3_N768_bs4_L3_M1024_r20_seed42
20,43,0.000612012401688844,3.407499025342986e-05,2.847212154960203e-05,663,f3_N768_bs4_L3_M1024_r20_seed43
20,44,0.0012045707553625107,4.1755978600122035e-05,3.4874178113027425e-05,638,f3_N768_bs4_L3_M1024_r20_seed44
20,45,0.0011002329410985112,4.612902193912305e-05,3.857954179216799e-05,595,f3_N768_bs4_L3_M1024_r20_seed45
20,46,0.0009190181153826416,4.9882029998116195e-05,4.1680068520181866e-05,595,f3_N768_bs4_L3_M1024_r20_seed46
