seed,method,network_width,parameter_count,context_size,context_measurements,depth,batch_size,inference_ms,peak_memory_mib,matvec_proxy
17,hybrid-PCG,128,182531,8,64,32,8,7.549205349641852,231.6484375,1622016
17,hybrid-PCG,128,182531,12,144,32,8,7.664780548657291,233.630859375,3667968
17,hybrid-PCG,128,182531,16,256,32,8,7.731790951220319,235.640625,6553600
17,hybrid-PCG,128,182531,24,576,32,8,8.003798651043326,240.84228515625,14893056
17,hybrid-PCG,128,182531,32,1024,32,8,8.287540450692177,245.7685546875,26738688
17,hybrid-PCG,128,182531,48,2304,32,8,12.925544049357995,253.771484375,61341696
29,hybrid-PCG,128,182531,8,64,32,8,7.608214000356384,541.75,1622016
29,hybrid-PCG,128,182531,12,144,32,8,7.701959999394603,543.732421875,3667968
29,hybrid-PCG,128,182531,16,256,32,8,7.753250849782489,545.7421875,6553600
29,hybrid-PCG,128,182531,24,576,32,8,8.033448198693804,550.5927734375,14893056
29,hybrid-PCG,128,182531,32,1024,32,8,8.335873851319775,555.8076171875,26738688
29,hybrid-PCG,128,182531,48,2304,32,8,12.699739349773154,563.873046875,61341696
43,hybrid-PCG,128,182531,8,64,32,8,8.0571542493999,541.75,1622016
43,hybrid-PCG,128,182531,12,144,32,8,8.157182097784244,543.732421875,3667968
43,hybrid-PCG,128,182531,16,256,32,8,8.152273300220259,545.7421875,6553600
43,hybrid-PCG,128,182531,24,576,32,8,8.464894749340601,550.5927734375,14893056
43,hybrid-PCG,128,182531,32,1024,32,8,8.844488448812626,555.8076171875,26738688
43,hybrid-PCG,128,182531,48,2304,32,8,13.325076148612425,563.873046875,61341696
