seed,method,network_width,parameter_count,dataset_size,training_seconds,context_size,context_measurements,scenario,regime,task,auc,average_precision,iou_top7,centroid_error,area_matched_iou,exact_score_correlation,relative_score_error,mean_relative_residual,covariance_relative_residual,posterior_std_mean,uq_error_correlation,numerical_coverage_95
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID one obstacle,ID,0,0.9998566308243728,0.9888888888888888,0.1636363636363636,0.0048481035046279,0.8,0.999999999868586,1.983480842682184e-06,2.483621756255161e-06,4.6961145017121453e-07,0.0104077104479074,-0.0474081907166786,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID one obstacle,ID,1,0.9998708010335916,0.9909090909090909,0.1818181818181818,0.0257967729121446,0.8181818181818182,0.9999999998833156,2.7070229862147244e-06,1.2124636441512848e-06,4.091703260655777e-07,0.0114289810881018,-0.1035063231675601,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID one obstacle,ID,2,0.9994865211810012,0.9428571428571428,0.0909090909090909,0.0119007285684347,0.6666666666666666,0.9999999998833627,1.4132438082015142e-06,1.5343599670814e-06,4.223547875881195e-07,0.008803978562355,-0.1324111350986557,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID one obstacle,ID,3,1.0,1.0,0.2181818181818181,0.0805166438221931,1.0,0.9999999995677212,3.834579729300458e-06,1.5246386055878247e-06,4.392009884668369e-07,0.0115479966625571,0.0156641917462021,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID one obstacle,ID,4,0.9998566308243728,0.9888888888888888,0.1636363636363636,0.0185617189854383,0.8,0.9999999999057534,1.414544954059238e-06,1.0058573707283358e-06,2.146989146467604e-07,0.0108217485249042,0.0460814351928486,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID one obstacle,ID,5,1.0,1.0,0.109090909090909,0.0385083481669425,1.0,0.9999999991198312,4.24757899963879e-06,2.557479774623061e-06,6.022484626555524e-07,0.0086168376728892,0.0590346423005837,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID one obstacle,ID,6,0.9997857754927164,0.9761904761904762,0.109090909090909,0.0082231983542442,0.7142857142857143,0.9999999999163116,1.2246621281519765e-06,1.3069285387246057e-06,4.790794605469273e-07,0.0087633142247796,-0.0853699262130425,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID one obstacle,ID,7,0.9991431019708654,0.8972222222222223,0.109090909090909,0.0234197247773408,0.7142857142857143,0.9999999997718888,3.5235859741078457e-06,2.495432909199735e-06,4.782271503245283e-07,0.0092309284955263,0.1297262327512198,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID four obstacles,ID,0,0.9544963430851064,0.5495557221461499,0.3181818181818182,0.1265050321817398,0.3617021276595745,0.9999999999997584,2.559987137829012e-07,5.549464390242065e-07,2.027277474780931e-07,0.0288628786802291,-0.315071030336792,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID four obstacles,ID,1,0.9404577525382892,0.6873421990141118,0.3823529411764705,0.147025004029274,0.4181818181818181,0.9999999999937448,2.375786380071077e-06,8.723822247702628e-06,2.854069407476345e-07,0.0630280002951622,-0.1774855650934122,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID four obstacles,ID,2,0.8520499108734403,0.3411366864761482,0.1818181818181818,0.1516386419534683,0.2203389830508474,0.999999999997802,1.634723389543069e-06,3.577390998543706e-06,3.9306411281359033e-07,0.0407898984849453,-0.2729837210029202,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID four obstacles,ID,3,0.8636100131752306,0.5127271517957172,0.2698412698412698,0.0651245266199112,0.3513513513513513,0.9999999999993632,2.647472854278021e-07,1.1192502142876035e-06,2.928860567408265e-07,0.0238213259726762,-0.0117156287941159,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID four obstacles,ID,4,0.9406586021505376,0.526302424500771,0.3571428571428571,0.2071821987628936,0.25,0.9999999999984291,1.4048424645807245e-06,5.054734174336772e-06,3.4664972758946533e-07,0.0475665889680385,-0.4371728377596725,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID four obstacles,ID,5,0.9363529411764706,0.6149381583514912,0.3484848484848485,0.172925516963005,0.36,0.9999999999999044,1.1564667090624425e-07,9.712015298646293e-07,2.171970976405646e-07,0.0278691407293081,-0.0211122611316971,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID four obstacles,ID,6,0.93133541295306,0.404628915966308,0.3188405797101449,0.0800793915987014,0.3090909090909091,0.9999999999997335,3.872361560297577e-07,6.98367330187466e-07,1.9864347677867045e-07,0.0207889545708894,-0.1120241753906427,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,ID four obstacles,ID,7,0.9648053665910808,0.6629128824918222,0.3387096774193548,0.1118861064314842,0.4358974358974359,0.9999999999995278,5.314865916261624e-07,1.2158320714661386e-06,2.5594829367037164e-07,0.0270414296537637,-0.2241881012143476,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,OOD six obstacles,OOD count,0,0.6910895326752802,0.1253719686532897,0.0927835051546391,0.1497201472520828,0.0967741935483871,0.9999999999995076,4.836055609303003e-07,1.463259536649275e-06,2.835652992416726e-07,0.0311594642698764,-0.234912589279517,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,OOD six obstacles,OOD count,1,0.7939108957917735,0.1912389011034892,0.1078431372549019,0.1959046423435211,0.1153846153846153,0.999999999992472,1.2917695357828052e-06,6.293621481745504e-06,4.612138866377792e-07,0.0420397110283374,-0.1070717106705948,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,OOD six obstacles,OOD count,2,0.7223336810849852,0.1512247833792786,0.1276595744680851,0.1376360952854156,0.0967741935483871,0.999999999996827,2.2907147467776667e-06,4.852951860812027e-06,4.5660127057090005e-07,0.0414192900061607,-0.3529230113501087,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,OOD six obstacles,OOD count,3,0.7551059181153226,0.1806011092068669,0.13,0.0771835297346115,0.1262135922330097,0.9999999999979674,7.043528853500902e-07,5.1015440476476215e-06,3.556037313501293e-07,0.0465142019093036,-0.1562090477713212,1.0
17,hybrid-PCG,128,182531,128,0.7186497200164013,8,64,OOD six obstacles,OOD count,4,0.7912776412776412,0.1778030349833003,0.1123595505617977,0.1296436488628387,0.1139240506329113,0.9999999999996982,1.9929434813548141e-07,2.0507434328465024e-06,2.7441905103842146e-07,0.0357535742223262,-0.0743232391054289,1.0
