seed,method,network_width,parameter_count,dataset_size,optimizer_updates,training_seconds,parameter_l2,parameter_drift_l2,skipped_updates,linear_layers,spectral_product,bartlett_factor,window_loss,window_ranking_loss,window_mean_relative_residual,window_covariance_relative_residual,window_spectral_condition,window_gradient_norm,window_boundary_residual
17,hybrid-PCG,128,182531,128,16,0.7186497200164013,18.72668794846947,0.3469122884600932,0,7.0,0.0012872091170025,0.0969959074007168,0.5774086602032185,0.202379279769957,0.2894964116967458,0.029710352562688,1534.9431800842283,0.3081849090522155,2.271431696954096e-06
17,hybrid-PCG,128,182531,256,32,1.147562864003703,18.73141796266488,0.5649405459106289,0,7.0,0.0034125970328032,0.2569161593892609,0.5023523569107056,0.2016617669723928,0.1929949460032958,0.0224868413696839,3325.486396789551,0.1711754287825897,2.026511214836546e-06
17,hybrid-PCG,128,182531,512,64,2.006268940982409,18.76391545223789,1.155012132152326,0,7.0,0.0226491836478264,1.5762168852975915,0.536874994635582,0.1980201058322563,0.2438244003543275,0.0232645604178216,2096.229754447937,0.2105794475937727,2.0482050526737794e-06
17,hybrid-PCG,128,182531,1024,128,3.7244921940146014,18.89092566815168,2.369329215244112,0,7.0,0.3546217869295278,20.548185093975167,0.5739630050957203,0.1852064555278048,0.2691932761696307,0.0288077329922202,3142.698413848877,0.4919528294703923,1.8486719497445847e-06
17,hybrid-PCG,128,182531,2048,256,7.168315532035194,19.18614937104445,4.062219145807925,0,7.0,6.106298586168348,284.65828616233847,0.600008025765419,0.1766007007099688,0.2873812059406191,0.0351877521025016,3170.3309593200684,0.6403556959703565,1.7221266963574069e-06
17,hybrid-PCG,128,182531,4096,512,14.089719849056564,19.65141045282466,5.91840921613857,0,7.0,25.845395356613167,1083.4323046197917,0.5307251363992691,0.2011301037855446,0.2335779844606804,0.0280323469162198,1930.5567412376404,0.6736040418036282,3.1602741152880758e-06
17,hybrid-PCG,128,182531,8192,1024,27.88399835507153,20.506379018267957,8.304338211042753,0,7.0,101.7583144971173,3737.480843002604,0.5056445393711329,0.214369420427829,0.2106528554125049,0.0258508031812745,1389.9994792938232,0.5550725258653983,2.132997837023254e-06
17,hybrid-PCG,128,182531,16384,2048,57.06044591311365,22.97804747855515,13.2507913943432,0,7.0,551.1456236434424,17896.582037631055,0.5642055198550224,0.2093911103438586,0.2586003122560214,0.0325240725214825,2272.1357021331787,0.5943822406698018,2.0938293854300127e-06
17,hybrid-PCG,128,182531,32768,4096,112.89694632514149,26.34929179286827,18.471093691924317,0,7.0,2082.4815954758137,62524.36946363543,0.5349370231851935,0.203721224097535,0.2389471317935658,0.0289269885238354,2064.640021800995,0.937125556753017,1.8628084363925268e-06
29,hybrid-PCG,128,182531,128,16,0.7123960899771191,18.637152730305903,0.3193302623074818,0,7.0,0.0021506801949065,0.1604105133713981,0.552984781563282,0.2180665992200374,0.2551176510451114,0.0260901231222305,3081.500781059265,0.93513362610247,2.6964895596393035e-06
29,hybrid-PCG,128,182531,256,32,1.1769485909608193,18.6482533187914,0.6154998853214934,0,7.0,0.0067946692743983,0.5068356351092503,0.5599436350166798,0.2337355967611074,0.2715606658833849,0.0257568799363099,2473.777643203736,0.4787007598206401,2.216876385574551e-06
29,hybrid-PCG,128,182531,512,64,2.111579741933383,18.673620766745127,1.1476296413757348,0,7.0,0.0194731623669014,1.370579759745149,0.5546414731070399,0.1926557286642491,0.2573428441986607,0.0266023346204349,2101.2643179893494,0.3726282579009421,2.010637560445616e-06
29,hybrid-PCG,128,182531,1024,128,3.97998713189736,18.837022512725888,2.5754540354728195,0,7.0,0.4074596135462275,22.757337751047142,0.5994088416919112,0.1818586690351367,0.3079567978065824,0.0278114343777815,3165.2747116088867,0.567819602205418,2.0659608939155305e-06
29,hybrid-PCG,128,182531,2048,256,7.706858741876204,19.177166398927177,4.3536515851429565,0,7.0,10.334669856691312,441.7092378078706,0.540861090645194,0.1986364849144593,0.2420171012167884,0.0275418193135124,1688.1127529144287,0.9816244645044208,2.464954816261411e-06
29,hybrid-PCG,128,182531,4096,512,15.164536366879474,19.66899872389424,6.26562499677088,0,7.0,36.05705496099552,1439.0012419759648,0.5305066928267479,0.1801932444795966,0.2208176618239576,0.0280198428447491,1945.9940133094788,0.7085022447281517,2.3527997559114056e-06
29,hybrid-PCG,128,182531,8192,1024,30.05108596588252,20.45687227871624,8.357911853859449,0,7.0,104.0879439533932,3826.943683261498,0.5472143972292542,0.1848054956644773,0.2505757740937042,0.0277432402068029,2344.490191936493,0.6137798621784896,2.0740976940381017e-06
29,hybrid-PCG,128,182531,16384,2048,59.44935234088916,22.878825264631438,13.19546537785533,0,7.0,604.6986585442276,19307.25254068885,0.5684106582775712,0.2080717420903965,0.2664500749178842,0.0336419563018353,1828.4802289009092,0.6203752523288131,2.1694904823732486e-06
29,hybrid-PCG,128,182531,32768,4096,116.79397023591446,25.47777679081319,17.289840144052015,0,7.0,1836.363688922124,54572.64343626071,0.4977466147392988,0.2158035149332136,0.2057067084751906,0.0254512456467637,1327.7585864067078,0.4055909999879077,2.1350231911299038e-06
43,hybrid-PCG,128,182531,128,16,0.4634585180319845,18.660036956387074,0.3526668556542232,0,7.0,0.0018560761916055,0.1383088473615075,0.6517693530768156,0.1741167104337364,0.3708563500374566,0.0281283335565944,6175.3421449661255,0.271531781530939,2.0259068609362885e-06
43,hybrid-PCG,128,182531,256,32,0.9275936190388164,18.666331845012863,0.5790253876646965,0,7.0,0.0065605542700074,0.4886234245054968,0.5214625578373671,0.2068191552534699,0.2215076155935094,0.0217876616661669,1834.843008995056,0.5422376405913383,1.8076349483919785e-06
43,hybrid-PCG,128,182531,512,64,1.8595555010833775,18.677249321663854,0.9326018064065634,0,7.0,0.0169216545526428,1.2491732741214072,0.5635911617428064,0.2069904615636915,0.2724328905497941,0.0274421596083129,2568.204530239105,0.7653441504808143,1.6815802181824324e-06
43,hybrid-PCG,128,182531,1024,128,3.728036445099861,18.83989896419473,2.423866869346616,0,7.0,0.3259261854890113,18.43440874690661,0.5249384241178632,0.2161123795667663,0.2324577204726665,0.0258626568872841,1351.6141338348389,0.4411834763013758,2.0755493235213862e-06
43,hybrid-PCG,128,182531,2048,256,7.439330143097322,19.0676312716861,3.765351007328371,0,7.0,3.941662706975732,187.4617500418777,0.5773778529837728,0.219877878203988,0.2813677263902718,0.0282050370515207,2401.0947041511536,0.5431334334425628,1.928006469142929e-06
43,hybrid-PCG,128,182531,4096,512,14.88470409612637,19.62260997189373,6.024074027066448,0,7.0,29.110968391734385,1191.416938208264,0.5840573040768504,0.2003929167985916,0.2901850500693399,0.0323014214363865,2055.206877708435,0.9654459953308104,2.0140311862704152e-06
43,hybrid-PCG,128,182531,8192,1024,29.8075782021042,20.31128737926325,7.985457544137743,0,7.0,88.74643107171828,3270.055570030439,0.5497939670458436,0.2029791409149766,0.2471505471288253,0.0308484791838168,1601.7285785675049,0.630208307178691,2.640015885901903e-06
43,hybrid-PCG,128,182531,16384,2048,58.8504679290927,22.68368213467699,12.89267582659571,0,7.0,451.38051677989,14914.525117636023,0.5074665518477559,0.1871718817856162,0.2121626821462996,0.0273679356956222,1556.6456565856934,0.5070508449571207,1.9895795739799382e-06
