name,model_kind,seed,width,rank,depth,final_train_mse,output_even_defect,active_last_layer_even_mean,active_mean_layer_even,active_all_even_median,active_all_even_p90,active_mean_layer_minima,mirror_distance_p20,mismatch_same_best20,weight_mismatch_median,weight_mismatch_p90,weight_signed_corr_close_mean
mlp_seed42_W384_r384_L2_N512_bs8_ep2000,mlp,42,384,384,2,0.09387299418449402,0.0005233119009062648,15.40020557358154,8.782493501532699,0.6851695775985718,4.034515810012817,0.5677083333333334,0.014921951852738858,0.9604600162803522,0.9977673014803612,1.098449171708739,0.03959388414487146
mlp_seed42_W384_r384_L3_N512_bs8_ep2000,mlp,42,384,384,3,0.07568904757499695,0.00019142874225508422,2.900057531728862,8.423846431738841,0.7820315062999725,6.302486419677734,0.90625,0.018377091363072397,0.982221347136324,0.9954685363586456,1.092581642495694,0.017800426561064935
mlp_seed43_W384_r384_L2_N512_bs8_ep2000,mlp,43,384,384,2,0.11633088439702988,0.007061452139168978,3.100080778157462,12.883606929476324,0.880242645740509,6.812508773803711,0.3541666666666667,0.018010806292295456,0.9547520797723618,0.9941530703737588,1.079521137983921,0.045370062271021354
mlp_seed43_W384_r384_L3_N512_bs8_ep2000,mlp,43,384,384,3,0.08356361836194992,0.001133509213104844,3.945479663785136,12.059747083930132,0.9696906507015228,13.14756727218628,0.7604166666666666,0.021436354145407677,1.0123644733567274,1.0027630422443474,1.0950879129190592,-0.012376332110142994
mmnn_seed42_W384_r10_L2_N512_bs8_ep2000,mmnn,42,384,10,2,0.08940653502941132,0.0014302172930911183,0.025536053255200385,1.3463996404781937,0.2186812050640583,2.917819118499754,0.0,0.030258507281541825,0.809508039657663,0.8168564291336304,1.3183124375317774,0.19661630152536422
mmnn_seed42_W384_r10_L3_N512_bs8_ep2000,mmnn,42,384,10,3,0.07119704782962799,0.0011273868149146438,0.005697361205238849,0.7978799433098174,0.0834590420126915,0.806554090976715,1.0666666666666667,0.028249692171812057,0.9118343571829141,0.946655611029069,1.389560431500425,0.09048930942809286
mmnn_seed42_W384_r20_L2_N512_bs8_ep2000,mmnn,42,384,20,2,0.09109457582235336,0.0013387898216024041,0.31035578588489443,1.3476516278577038,0.5310449749231339,3.816895985603333,0.25,0.030258507281541825,0.9076298233005505,0.9565270120169325,1.272299385611778,0.09704217921955399
mmnn_seed42_W384_r20_L3_N512_bs8_ep2000,mmnn,42,384,20,3,0.07346634566783905,0.0005871884641237557,0.008908640837762504,1.0219952121668028,0.1141376793384552,3.8407471656799324,0.4666666666666666,0.028249692171812057,0.893735618965284,0.9266160016377605,1.282605589645171,0.10811154921339367
mmnn_seed42_W384_r5_L2_N512_bs8_ep2000,mmnn,42,384,5,2,0.08666317164897919,0.0017806338146328926,0.01580074429512024,0.9787666847308477,0.3436549147590995,2.5828006267547607,0.16666666666666666,0.030258507281541825,0.7241997889827136,0.6895989790940847,1.4310949261229844,0.2811895435066595
mmnn_seed42_W384_r5_L3_N512_bs8_ep2000,mmnn,42,384,5,3,0.066301628947258,0.0007246605237014592,0.001158427233652522,1.3922329429963913,0.006903395988047123,4.0784431457519545,0.0,0.028249692171812057,0.952553716138637,0.9480755739775408,1.4959514107173135,0.04271365185179361
mmnn_seed43_W384_r10_L2_N512_bs8_ep2000,mmnn,43,384,10,2,0.08930772542953491,0.0020996027160435915,0.08487391956150532,1.6975094342604278,0.8195639848709106,4.248974847793579,0.2,0.02752429135143757,0.9295083603230039,0.9320491527334772,1.3709512686142693,0.07621785314255196
mmnn_seed43_W384_r10_L3_N512_bs8_ep2000,mmnn,43,384,10,3,0.09120535105466843,0.0016258914256468415,0.003939137840643525,0.6884406628242384,0.02817748486995697,2.029231739044189,0.20000000000000004,0.02846795953810215,0.8502403483762235,0.9254985042103685,1.3912813871308,0.1601705519264825
mmnn_seed43_W384_r20_L2_N512_bs8_ep2000,mmnn,43,384,20,2,0.09005068242549896,0.002467914018779993,0.017642677365802228,1.1435336458380334,0.06629994325339794,2.9684118270874054,0.55,0.02752429135143757,0.928332894849754,0.9285854595905011,1.3062277440913717,0.07415058947453412
mmnn_seed43_W384_r20_L3_N512_bs8_ep2000,mmnn,43,384,20,3,0.08051331341266632,0.001121021807193756,0.004091996792703867,0.7308030305585512,0.022740216925740242,2.4915331125259406,0.3,0.02846795953810215,0.8496378032215451,0.9197628237594773,1.2179033879624648,0.15242251716452562
mmnn_seed43_W384_r5_L2_N512_bs8_ep2000,mmnn,43,384,5,2,0.10540217906236649,0.002641191938892007,0.031149891826013725,0.691742266373088,0.0860869325697422,1.9825236201286316,0.16666666666666666,0.02752429135143757,0.828328172916994,0.718313259637904,1.5020527990752113,0.179172100462501
mmnn_seed43_W384_r5_L3_N512_bs8_ep2000,mmnn,43,384,5,3,0.0908149778842926,0.0014414817560464144,0.019640459058185417,0.8473903258434601,0.32995784282684326,2.0774644374847417,0.1111111111111111,0.02846795953810215,0.6970713517609708,0.8148826134167981,1.5318738102970806,0.3215010154084773
