variant,seed,depth,mse,se
matched,2,1,1.847449541091919,0.019174691289663315
matched,2,2,1.5729843378067017,0.018453296273946762
matched,2,4,0.38972753286361694,0.0041669560596346855
matched,2,8,0.154087096452713,0.0019476496381685138
matched,2,12,0.12267980724573135,0.00196771789342165
matched,2,16,0.11665569245815277,0.0017714316491037607
matched,2,24,0.11339261382818222,0.0017938899109140038
matched,2,32,0.11320022493600845,0.0018740143859758973
