variant,seed,n_context,method,mse,se,episodes,parameters,eta,beta
matched,2,4,model,0.5123083591461182,0.0048909313045442104,5120,1346,2.855159044265747,0.5648569464683533
matched,2,4,exact_krr,0.5111014246940613,0.004887761082500219,5120,1346,2.855159044265747,0.5648569464683533
matched,2,4,nw,0.854479968547821,0.009562618099153042,5120,1346,2.855159044265747,0.5648569464683533
matched,2,8,model,0.24456460773944855,0.0029826373793184757,5120,1346,2.8447587490081787,0.549669086933136
matched,2,8,exact_krr,0.23880739510059357,0.0029376058373600245,5120,1346,2.8447587490081787,0.549669086933136
matched,2,8,nw,0.46449118852615356,0.0054082004353404045,5120,1346,2.8447587490081787,0.549669086933136
matched,2,12,model,0.12176623195409775,0.001970946090295911,5120,1346,2.845712661743164,0.5470463037490845
matched,2,12,exact_krr,0.11586872488260269,0.001912592095322907,5120,1346,2.845712661743164,0.5470463037490845
matched,2,12,nw,0.32282572984695435,0.0035534340422600508,5120,1346,2.845712661743164,0.5470463037490845
matched,2,16,model,0.06117524951696396,0.0011141226859763265,5120,1346,2.833268404006958,0.541352391242981
matched,2,16,exact_krr,0.0551157109439373,0.0010419113095849752,5120,1346,2.833268404006958,0.541352391242981
matched,2,16,nw,0.2594526410102844,0.002608774695545435,5120,1346,2.833268404006958,0.541352391242981
matched,2,24,model,0.020756755024194717,0.0004039871855638921,5120,1346,2.7859952449798584,0.5232660174369812
matched,2,24,exact_krr,0.016862787306308746,0.0003436181286815554,5120,1346,2.7859952449798584,0.5232660174369812
matched,2,24,nw,0.2106095254421234,0.0017821475630626082,5120,1346,2.7859952449798584,0.5232660174369812
