step,variant,seed,n_context,train_mse,eta,beta,fixed_lengthscale
1,matched,2,6,0.40159091353416443,1.0790796279907227,0.11393889039754868,0.18000000715255737
100,matched,2,16,0.05418134853243828,2.4613466262817383,0.4639398455619812,0.18000000715255737
200,matched,2,8,0.22446954250335693,2.703892469406128,0.5092300176620483,0.18000000715255737
300,matched,2,9,0.19139254093170166,2.794741630554199,0.5379726886749268,0.18000000715255737
400,matched,2,12,0.12288439273834229,2.754976749420166,0.5192029476165771,0.18000000715255737
500,matched,2,6,0.37231388688087463,2.8760385513305664,0.5645067691802979,0.18000000715255737
600,matched,2,10,0.16758793592453003,2.89127254486084,0.5682357549667358,0.18000000715255737
700,matched,2,7,0.3033909499645233,2.8539891242980957,0.5562775135040283,0.18000000715255737
800,matched,2,6,0.36146238446235657,2.8925621509552,0.5762435793876648,0.18000000715255737
900,matched,2,9,0.2321760058403015,2.835451126098633,0.5482317805290222,0.18000000715255737
1000,matched,2,11,0.13122214376926422,2.816314220428467,0.537028431892395,0.18000000715255737
1100,matched,2,12,0.11707407981157303,2.887899875640869,0.5660386085510254,0.18000000715255737
1200,matched,2,13,0.09856190532445908,2.825166940689087,0.5418077111244202,0.18000000715255737
1300,matched,2,9,0.22165772318840027,2.851283311843872,0.552463948726654,0.18000000715255737
1400,matched,2,11,0.16588148474693298,2.7697317600250244,0.5207909941673279,0.18000000715255737
1500,matched,2,7,0.2755351662635803,2.8538684844970703,0.5536453723907471,0.18000000715255737
1600,matched,2,10,0.1798226237297058,2.879364490509033,0.5602019429206848,0.18000000715255737
1700,matched,2,14,0.08675234019756317,2.853954553604126,0.5508503913879395,0.18000000715255737
1800,matched,2,10,0.16238316893577576,2.873957872390747,0.5610469579696655,0.18000000715255737
1900,matched,2,6,0.3372248411178589,2.8632712364196777,0.5602947473526001,0.18000000715255737
2000,matched,2,9,0.19771048426628113,2.874703884124756,0.5637050271034241,0.18000000715255737
2100,matched,2,13,0.10753317177295685,2.8453867435455322,0.5493998527526855,0.18000000715255737
2200,matched,2,10,0.17668598890304565,2.855166435241699,0.5535881519317627,0.18000000715255737
2300,matched,2,11,0.1305324137210846,2.8213837146759033,0.5408121943473816,0.18000000715255737
2400,matched,2,6,0.3557734787464142,2.9004697799682617,0.5762307643890381,0.18000000715255737
2500,matched,2,6,0.3311498463153839,2.880429267883301,0.564613938331604,0.18000000715255737
2600,matched,2,10,0.17026621103286743,2.8559350967407227,0.5508491396903992,0.18000000715255737
2700,matched,2,6,0.37747281789779663,2.9158034324645996,0.5833252668380737,0.18000000715255737
2800,matched,2,15,0.07405059039592743,2.8413405418395996,0.54413902759552,0.18000000715255737
2900,matched,2,11,0.15342484414577484,2.8223090171813965,0.543597936630249,0.18000000715255737
3000,matched,2,6,0.33407193422317505,2.9651541709899902,0.6055343151092529,0.18000000715255737
3100,matched,2,13,0.10272420197725296,2.81831693649292,0.5322798490524292,0.18000000715255737
3200,matched,2,10,0.16839881241321564,2.88936710357666,0.5698847770690918,0.18000000715255737
3300,matched,2,13,0.10812650620937347,2.812462568283081,0.5350463390350342,0.18000000715255737
3400,matched,2,13,0.09557659924030304,2.8227438926696777,0.5379053354263306,0.18000000715255737
3500,matched,2,14,0.08313252776861191,2.778231620788574,0.5198253393173218,0.18000000715255737
3600,matched,2,6,0.36198312044143677,2.8336777687072754,0.5540088415145874,0.18000000715255737
3700,matched,2,8,0.22532644867897034,2.8012161254882812,0.5376111268997192,0.18000000715255737
3800,matched,2,7,0.2971994876861572,2.8444900512695312,0.5536748170852661,0.18000000715255737
3900,matched,2,10,0.16847506165504456,2.865642786026001,0.5582560300827026,0.18000000715255737
4000,matched,2,14,0.0895272046327591,2.8203182220458984,0.5352982878684998,0.18000000715255737
4100,matched,2,12,0.11619123816490173,2.837263345718384,0.5470244884490967,0.18000000715255737
4200,matched,2,8,0.23165270686149597,2.8460922241210938,0.5458550453186035,0.18000000715255737
4300,matched,2,16,0.055385857820510864,2.8496768474578857,0.5502110719680786,0.18000000715255737
4400,matched,2,10,0.17940965294837952,2.8860790729522705,0.5693482756614685,0.18000000715255737
4500,matched,2,8,0.24882088601589203,2.8388304710388184,0.546823263168335,0.18000000715255737
4600,matched,2,14,0.08791029453277588,2.782179355621338,0.5236086249351501,0.18000000715255737
4700,matched,2,12,0.13710923492908478,2.861297130584717,0.5590046644210815,0.18000000715255737
4800,matched,2,12,0.12013415992259979,2.8472678661346436,0.5466214418411255,0.18000000715255737
4900,matched,2,12,0.12802617251873016,2.846137523651123,0.5497928261756897,0.18000000715255737
5000,matched,2,15,0.07459461688995361,2.8346915245056152,0.5419268608093262,0.18000000715255737
