seed,method,depth,task,auc,average_precision,iou_top7,centroid_error,relative_residual
17,trained_pcg,1,0,0.999267578125,0.9890520825016298,0.8888888888888888,0.005013155750930309,2.789978504180908
17,trained_pcg,1,1,0.9973215299057995,0.9462829222021236,0.6027397260273972,0.021022524684667587,3.14060640335083
17,trained_pcg,1,2,0.999281726025912,0.9903932933458646,0.875,0.0133052384480834,2.7177000045776367
17,trained_pcg,1,3,0.9984537760416666,0.9774577368350412,0.863013698630137,0.006572467274963856,3.033172607421875
17,trained_pcg,1,4,0.9978047520661157,0.9600446716141111,0.7777777777777778,0.006316922605037689,2.9358479976654053
17,trained_pcg,1,5,0.9986533353010626,0.9768199267552671,0.7777777777777778,0.005365371238440275,3.4159374237060547
17,trained_pcg,1,6,0.9985409089919205,0.967412299977861,0.6527777777777778,0.003425430040806532,3.8072898387908936
17,trained_pcg,1,7,0.9984293567501964,0.9747750173106494,0.7808219178082192,0.006277261767536402,3.3066256046295166
17,trained_pcg,1,8,0.9981402342513453,0.96717309936156,0.7222222222222222,0.004910420626401901,3.6167685985565186
17,trained_pcg,1,9,0.9978165598340586,0.9715599308535944,0.8289473684210527,0.015305981040000916,2.806810140609741
17,trained_pcg,1,10,0.9991514690982777,0.9910515506911166,0.8571428571428571,0.02099326252937317,2.597440481185913
17,trained_pcg,1,11,0.9977388211382114,0.9445448895378479,0.5555555555555556,0.046813540160655975,3.350356101989746
17,trained_pcg,1,12,0.9992668525719073,0.9912844537948798,0.8658536585365854,0.015186365693807602,2.5573699474334717
17,trained_pcg,1,13,0.9986300166856943,0.9785918125362429,0.8194444444444444,0.007512362208217382,3.4598658084869385
17,trained_pcg,1,14,0.9998954849498327,0.9990929535748811,0.6923076923076923,0.008220715448260307,2.617096424102783
17,trained_pcg,1,15,0.9985899907189263,0.9754641031915094,0.8055555555555556,0.0030525566544383764,3.280905246734619
17,trained_pcg,1,16,0.9986582327007859,0.9694202126254288,0.5138888888888888,0.043027814477682114,3.633810520172119
17,trained_pcg,1,17,0.9991337130023261,0.9868582106528109,0.8767123287671232,0.006074901670217514,3.022491931915283
17,trained_pcg,1,18,0.9986341907580243,0.9811459900513433,0.8552631578947368,0.007462235167622566,3.0296547412872314
17,trained_pcg,1,19,0.9976480324048869,0.9523267311397299,0.6527777777777778,0.007549558766186237,3.687910318374634
