stage,seed,method,family,noise_rel,task,auc,average_precision,iou_top7,centroid_error,relative_residual
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,0,0.9987955729166667,0.9823637948451828,0.863013698630137,0.009738572873175144,0.017238467931747437
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,1,0.9993060182100821,0.9916684446183659,0.8974358974358975,0.01346147246658802,0.005777295213192701
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,2,0.9988649887600828,0.9900550573833675,0.7346938775510204,0.01013924926519394,0.05871656537055969
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,3,0.999849822468704,0.9986469070640283,0.7128712871287128,0.002484449651092291,0.015260571613907814
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,4,0.9991106799256205,0.9912258856259561,0.7741935483870968,0.004893645644187927,0.03218783810734749
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,5,0.9993457054484891,0.9938897570579361,0.8,0.014850997366011143,0.0037305152509361506
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,6,0.9999653439611852,0.9988505747126438,0.4027777777777778,0.0034609646536409855,0.0036346560809761286
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,7,0.9992046039395499,0.9896551094130974,0.8783783783783784,0.010132532566785812,0.013165379874408245
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,8,0.9999025974025973,0.9991175905140486,0.72,0.012580802664160728,0.003735842416062951
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,9,0.9983528002395927,0.979217768182291,0.7974683544303798,0.01310841552913189,0.03633522242307663
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,10,0.9979089615931721,0.9746758135592459,0.825,0.007603874430060387,0.02699132449924946
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,11,0.9997575450913423,0.9979769521228947,0.6990291262135923,0.008933046832680702,0.0073850881308317184
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,12,0.9997185477061638,0.995486308591949,0.7638888888888888,0.0045187389478087425,0.01761103980243206
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,13,0.9999749420534987,0.9997295469912103,0.8470588235294118,0.006418963894248009,0.014920766465365887
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,14,0.9983722973654264,0.980527914291007,0.8831168831168831,0.01325082965195179,0.01683141104876995
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,15,0.9994310504231563,0.9874562874857382,0.5972222222222222,0.015894314274191856,0.02268199622631073
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,16,0.9997967479674797,0.9951276766737294,0.5555555555555556,0.011930699460208416,0.0026072803884744644
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,17,0.9983522462303747,0.9871791149287406,0.6857142857142857,0.0006930266390554607,0.06049754470586777
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,18,0.9999773011008966,0.9995169082125603,0.625,0.008631971664726734,0.0011262429179623723
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,19,0.999469696969697,0.9950920609906475,0.72,0.014023317024111748,0.006916339974850416
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,20,0.9988714287466726,0.9884925885864815,0.8068181818181818,0.008627166971564293,0.006359995808452368
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,21,0.999028044472892,0.9781810229860978,0.5972222222222222,0.0069322953931987286,0.011242860928177834
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,22,0.9996345029239766,0.9914772727272728,0.5,0.002584733534604311,0.00695868581533432
fine_forward_grid,17,trained_pcg_20,ellipse,0.15,23,0.9999624730274885,0.9993620414673047,0.7638888888888888,0.008451470173895359,0.00990181602537632
fine_forward_grid,17,exact_tikhonov,ellipse,0.15,0,0.9988118489583333,0.9825729969961924,0.863013698630137,0.009738572873175144,1.633439569559414e-05
fine_forward_grid,17,exact_tikhonov,ellipse,0.15,1,0.9993060182100821,0.9916684446183659,0.8974358974358975,0.01346147246658802,1.4974803889344912e-05
fine_forward_grid,17,exact_tikhonov,ellipse,0.15,2,0.9988649887600828,0.9900550573833675,0.7346938775510204,0.01013924926519394,1.3616196156363003e-05
fine_forward_grid,17,exact_tikhonov,ellipse,0.15,3,0.999849822468704,0.9986469070640284,0.7128712871287128,0.002484449651092291,1.5251787772285752e-05
fine_forward_grid,17,exact_tikhonov,ellipse,0.15,4,0.9991106799256205,0.9912258856259561,0.7741935483870968,0.004893645644187927,1.3672856766788755e-05
fine_forward_grid,17,exact_tikhonov,ellipse,0.15,5,0.9993457054484891,0.9938897570579361,0.8,0.014850997366011143,1.3894548828830011e-05
fine_forward_grid,17,exact_tikhonov,ellipse,0.15,6,0.9999653439611851,0.9988505747126435,0.4027777777777778,0.0034609646536409855,2.4542147002648562e-05
fine_forward_grid,17,exact_tikhonov,ellipse,0.15,7,0.9992046039395499,0.9896551094130978,0.8783783783783784,0.010132532566785812,1.6663303540553898e-05
