stage,seed,method,family,noise_rel,task,auc,average_precision,iou_top7,centroid_error,relative_residual
experiment_design,17,learned_design_loop,ellipse,0.12,0,0.9719329236129001,0.780842557374468,0.48598130841121495,0.03763531520962715,0.00010960293002426624
experiment_design,17,learned_design_loop,ellipse,0.12,1,0.9893039027008628,0.9085688790418345,0.6813186813186813,0.06864377856254578,8.124980377033353e-05
experiment_design,17,learned_design_loop,ellipse,0.12,2,0.9940362087326944,0.9445262715461389,0.7252747252747253,0.014367330819368362,4.5135813707020134e-05
experiment_design,17,learned_design_loop,ellipse,0.12,3,0.9983909550218294,0.9865805426098914,0.7128712871287128,0.0061479960568249226,6.705415216856636e-06
experiment_design,17,learned_design_loop,ellipse,0.12,4,0.9993517998357894,0.9917863937636069,0.8589743589743589,0.007301668170839548,3.7632769817719236e-05
experiment_design,17,learned_design_loop,ellipse,0.12,5,0.9952413635323725,0.9588957537280026,0.7291666666666666,0.021573100239038467,5.573128873948008e-05
experiment_design,17,learned_design_loop,ellipse,0.12,6,0.9998471088279364,0.9960127591706539,0.4583333333333333,0.006258855108171701,2.9624146918649785e-05
experiment_design,17,learned_design_loop,ellipse,0.12,7,0.985292862021858,0.751696138657669,0.5384615384615384,0.20159178972244263,0.00022239965619519353
experiment_design,17,learned_design_loop,ellipse,0.12,8,0.9865091415195799,0.8804837945445029,0.6046511627906976,0.05266899988055229,0.0003159296466037631
experiment_design,17,learned_design_loop,ellipse,0.12,9,0.9934298606634601,0.9485026140282273,0.7752808988764045,0.02648482285439968,8.534707376384176e-06
experiment_design,17,learned_design_loop,ellipse,0.12,10,0.9948457633736821,0.8843993554993154,0.5205479452054794,0.11748354136943817,0.0002359490899834782
experiment_design,17,learned_design_loop,ellipse,0.12,11,0.9856327800829876,0.8518045310744748,0.5714285714285714,0.08886569738388062,0.0008834000327624381
experiment_design,17,learned_design_loop,ellipse,0.12,12,0.9949459635177076,0.950944160262193,0.7282608695652174,0.0260311346501112,1.8106769857695326e-05
experiment_design,17,learned_design_loop,ellipse,0.12,13,0.9957008680412937,0.9064664507471629,0.5138888888888888,0.2455839216709137,0.00013017423043493181
experiment_design,17,learned_design_loop,ellipse,0.12,14,0.9986121490338422,0.9741795837251928,0.5277777777777778,0.027855440974235535,0.00021506221673917025
experiment_design,17,learned_design_loop,ellipse,0.12,15,0.9966073404815037,0.9598490368960221,0.72,0.04735293239355087,0.0009279304649680853
experiment_design,17,learned_design_loop,ellipse,0.12,16,0.9989117983963345,0.9833836039925402,0.726027397260274,0.03643077611923218,0.00019793810497503728
experiment_design,17,learned_design_loop,ellipse,0.12,17,0.9962621320285554,0.9594606849267289,0.7792207792207793,0.018343184143304825,0.00018153403652831912
experiment_design,17,learned_design_loop,ellipse,0.12,18,0.9975224363064098,0.9784409966125007,0.7058823529411765,0.006467546336352825,7.743753485556226e-06
experiment_design,17,learned_design_loop,ellipse,0.12,19,0.9986447638603696,0.9780309544881645,0.6712328767123288,0.00596750620752573,0.00034454019623808563
experiment_design,17,learned_design_loop,ellipse,0.12,20,0.9867044689555176,0.9151884894309288,0.7111111111111111,0.01608985848724842,6.235704495338723e-05
experiment_design,17,learned_design_loop,ellipse,0.12,21,0.9904668304668305,0.9237578610305163,0.6285714285714286,0.014059389010071754,1.385962377753458e-06
experiment_design,17,learned_design_loop,ellipse,0.12,22,0.997811698829688,0.9823658761099593,0.7128712871287128,0.019297629594802856,3.283537580500706e-06
experiment_design,17,learned_design_loop,ellipse,0.12,23,0.995936772211486,0.9541565979031463,0.7307692307692307,0.015822695568203926,5.7180637668352574e-05
experiment_design,17,learned_design_exact,ellipse,0.12,0,0.9719329236129001,0.780842557374468,0.48598130841121495,0.03763531520962715,3.7208494632068323e-06
experiment_design,17,learned_design_exact,ellipse,0.12,1,0.9893039027008628,0.9085688790418345,0.6813186813186813,0.06864377856254578,4.3812115109176375e-06
experiment_design,17,learned_design_exact,ellipse,0.12,2,0.9940362087326944,0.9445262715461389,0.7252747252747253,0.014367330819368362,3.218722667952534e-06
experiment_design,17,learned_design_exact,ellipse,0.12,3,0.9983909550218294,0.9865805426098914,0.7128712871287128,0.0061479960568249226,2.4603020847280277e-06
experiment_design,17,learned_design_exact,ellipse,0.12,4,0.9993517998357894,0.9917863937636069,0.8589743589743589,0.007301668170839548,3.245498874093755e-06
experiment_design,17,learned_design_exact,ellipse,0.12,5,0.9952413635323725,0.9588957537280026,0.7291666666666666,0.021573100239038467,3.9331043808488175e-06
experiment_design,17,learned_design_exact,ellipse,0.12,6,0.9998471088279364,0.9960127591706539,0.4583333333333333,0.006258855108171701,3.8790726648585405e-06
experiment_design,17,learned_design_exact,ellipse,0.12,7,0.985292862021858,0.751696138657669,0.5384615384615384,0.20159178972244263,4.3842233026225585e-06
experiment_design,17,learned_design_exact,ellipse,0.12,8,0.98647750996394,0.8801246032031576,0.6046511627906976,0.05266899988055229,4.721367986348923e-06
experiment_design,17,learned_design_exact,ellipse,0.12,9,0.9934298606634601,0.9485026140282273,0.7752808988764045,0.02648482285439968,4.165672180533875e-06
experiment_design,17,learned_design_exact,ellipse,0.12,10,0.9948457633736821,0.8843993554993154,0.5205479452054794,0.11748354136943817,5.029100520914653e-06
experiment_design,17,learned_design_exact,ellipse,0.12,11,0.9856154910096819,0.8517391040772295,0.5714285714285714,0.08886569738388062,4.958733825333184e-06
experiment_design,17,learned_design_exact,ellipse,0.12,12,0.9949459635177076,0.950944160262193,0.7282608695652174,0.0260311346501112,3.6596616155293304e-06
experiment_design,17,learned_design_exact,ellipse,0.12,13,0.9956734850351873,0.90605912853133,0.5138888888888888,0.2455839216709137,4.425583938427735e-06
