seed,design,max_sidelobe,p95_sidelobe,mean_sidelobe
17,learned,0.5588768720626831,0.4054007828235626,0.1388901025056839
17,uniform,0.998725175857544,0.5955601930618286,0.14420586824417114
17,random,0.5594595670700073,0.3449142575263977,0.12192314118146896
29,learned,0.5561744570732117,0.40825632214546204,0.13843274116516113
29,uniform,0.998725175857544,0.5955601930618286,0.14420586824417114
29,random,0.7248775362968445,0.40847647190093994,0.12172110378742218
43,learned,0.5717925429344177,0.416288822889328,0.1399422585964203
43,uniform,0.998725175857544,0.5955601930618286,0.14420586824417114
43,random,0.7510965466499329,0.3735922873020172,0.143857941031456
