seed,step,loss,relative_residual,gradient_norm,preconditioner_linear,preconditioner_quadratic,elapsed_seconds
17.0,0.0,0.3455279767513275,0.3160710334777832,0.00021086508058942854,0.002702105790376663,0.0027021034620702267,0.23713883699383587
17.0,50.0,0.30750414729118347,0.3075714111328125,0.0008651278913021088,0.004195553250610828,0.004700393415987492,0.7988841949845664
17.0,100.0,0.32697391510009766,0.48653995990753174,0.02483636885881424,0.022467894479632378,0.03653325140476227,1.3423121179803275
17.0,150.0,0.3283926248550415,0.4757465124130249,0.077058807015419,0.4078258275985718,1.503105640411377,1.8852527709677815
17.0,200.0,0.3222683072090149,0.44932156801223755,0.1887824833393097,0.5129324197769165,1.5684528350830078,2.5129784679738805
17.0,250.0,0.3133224546909332,0.3032345175743103,0.046078022569417953,0.435646653175354,1.5606963634490967,3.0624874439672567
17.0,300.0,0.324247807264328,0.32563135027885437,0.03506169468164444,0.3080059289932251,0.6352088451385498,3.603162260958925
17.0,350.0,0.3300386965274811,0.32084396481513977,0.06061428412795067,0.3942861557006836,0.831080973148346,4.145406439958606
17.0,400.0,0.3427466154098511,0.5387109518051147,0.05893136188387871,0.4355160593986511,1.2653106451034546,4.68713099998422
17.0,450.0,0.333819180727005,0.26742827892303467,0.08592818677425385,0.3507634401321411,1.3200842142105103,5.229258383973502
17.0,500.0,0.3056662976741791,0.3315845727920532,0.1471819430589676,0.4101775884628296,1.8288060426712036,5.774163289985154
17.0,550.0,0.3237922489643097,0.43453314900398254,0.08547104150056839,0.382933109998703,2.7986435890197754,6.322854310972616
17.0,600.0,0.33219656348228455,0.2584027349948883,0.08276457339525223,0.14609313011169434,1.2192902565002441,6.859685746952891
17.0,650.0,0.36057835817337036,0.20767521858215332,0.16940033435821533,0.1505454182624817,1.5075068473815918,7.402217975992244
17.0,700.0,0.35132065415382385,0.2700560688972473,0.07186778634786606,0.1048818826675415,1.0639066696166992,7.9743329039774835
17.0,750.0,0.3093998432159424,0.28561949729919434,0.07417921721935272,0.11276857554912567,1.5264596939086914,8.582630049961153
17.0,800.0,0.2965376377105713,0.16261202096939087,0.031997326761484146,0.08233571797609329,1.0080299377441406,9.188462431950029
17.0,850.0,0.3276708424091339,0.39768633246421814,0.09885314851999283,0.062037207186222076,0.8712016344070435,9.79747959697852
17.0,900.0,0.32966482639312744,0.4824402928352356,0.1565275639295578,0.10319490730762482,2.295924663543701,10.404979477985762
