seed,design,index,angle_degrees
17,learned,0,15.392814636230469
17,learned,1,98.73136138916016
17,learned,2,128.98683166503906
17,learned,3,233.45309448242188
17,learned,4,263.419677734375
17,learned,5,343.8890686035156
17,uniform,0,0.0
17,uniform,1,59.999996185302734
17,uniform,2,119.99999237060547
17,uniform,3,180.0
17,uniform,4,239.99998474121094
17,uniform,5,299.9999694824219
17,random,0,24.568090438842773
17,random,1,60.32571792602539
17,random,2,147.14048767089844
17,random,3,193.7574920654297
17,random,4,295.78936767578125
17,random,5,346.54107666015625
29,learned,0,17.361492156982422
29,learned,1,98.6049575805664
29,learned,2,128.673583984375
29,learned,3,235.68714904785156
29,learned,4,265.5115661621094
29,learned,5,345.8310546875
29,uniform,0,0.0
29,uniform,1,59.999996185302734
29,uniform,2,119.99999237060547
29,uniform,3,180.0
29,uniform,4,239.99998474121094
29,uniform,5,299.9999694824219
29,random,0,66.74075317382812
29,random,1,103.14484405517578
29,random,2,156.1417694091797
29,random,3,261.2347717285156
29,random,4,304.8326416015625
29,random,5,348.9033203125
43,learned,0,39.04731369018555
43,learned,1,68.81778717041016
43,learned,2,157.9453887939453
43,learned,3,189.09898376464844
43,learned,4,269.8597412109375
43,learned,5,299.9607849121094
43,uniform,0,0.0
43,uniform,1,59.999996185302734
43,uniform,2,119.99999237060547
43,uniform,3,180.0
43,uniform,4,239.99998474121094
43,uniform,5,299.9999694824219
43,random,0,24.87109375
43,random,1,85.55628967285156
43,random,2,117.1171646118164
43,random,3,164.3174591064453
43,random,4,220.40745544433594
43,random,5,299.5821533203125
