step,seed,loss,tau,selected
1,1,0.4276687502861023,1.2495977052722038,7 29 50 63 18 40 0 25
100,1,0.3209879994392395,1.2104047321570373,30 39 21 31 32 29 33 28
200,1,0.3375890254974365,1.1720636925025194,31 41 21 32 33 34 30 35
300,1,0.28512293100357056,1.1349371518356002,29 41 18 51 31 30 32 33
400,1,0.298409104347229,1.098986639426112,29 41 18 51 7 30 31 32
500,1,0.28809764981269836,1.0641749031509808,31 43 19 53 8 32 33 34
600,1,0.2760853171348572,1.0304658708933632,29 42 18 53 6 30 31 32
700,1,0.3444160521030426,0.9978246131645195,30 41 20 29 31 28 32 27
800,1,0.31536954641342163,0.9662173069096798,34 22 44 11 35 33 36 32
900,1,0.29736393690109253,0.9356112004604039,34 22 44 11 55 35 36 33
1000,1,0.3017549216747284,0.9059745795971195,34 22 45 11 35 36 33 37
1100,1,0.2784126400947571,0.8772767346866686,32 43 21 54 33 31 34 30
1200,1,0.3218960464000702,0.8494879288608139,30 42 20 52 31 32 33 34
1300,1,0.2977902889251709,0.822579367202728,31 43 20 54 32 30 33 29
1400,1,0.32034024596214294,0.7965231669095385,27 40 17 51 28 29 26 30
1500,1,0.2793470621109009,0.7712923284000122,33 21 44 10 55 32 31 30
1600,1,0.27365702390670776,0.7468607073374355,34 21 44 9 63 33 32 35
1700,1,0.2846795320510864,0.723202987538707,34 18 44 8 27 33 35 36
1800,1,0.29673150181770325,0.7002946547415665,34 19 44 9 27 63 35 33
1900,1,0.29846709966659546,0.6781119712027766,34 22 43 11 35 33 36 32
2000,1,0.3214561939239502,0.6566319511009417,34 22 43 11 35 33 36 32
2100,1,0.32958561182022095,0.6358323367184706,33 21 42 34 32 35 31 10
2200,1,0.3049601912498474,0.6156915753780029,31 21 40 32 33 30 34 29
2300,1,0.3405163288116455,0.5961887971094048,31 20 41 32 33 30 34 29
2400,1,0.3101111650466919,0.5773037930241883,33 21 43 32 34 31 35 30
2500,1,0.31123924255371094,0.5590169943749475,30 41 19 31 32 29 33 28
2600,1,0.3014425039291382,0.5413094522781122,29 41 19 30 31 32 33 28
2700,1,0.27821964025497437,0.5241628180790088,24 39 14 49 31 32 30 33
2800,1,0.30348843336105347,0.5075593243388804,33 20 43 10 34 35 32 36
2900,1,0.3235936164855957,0.4914817664241675,34 21 44 10 35 36 37 33
3000,1,0.2637671232223511,0.47591348467896966,36 23 47 11 37 35 38 34
3100,1,0.31840038299560547,0.4608383471622164,37 23 46 12 38 36 39 35
3200,1,0.31780147552490234,0.44624073293165945,38 24 47 13 37 39 36 40
3300,1,0.31840047240257263,0.43210551585736423,35 23 45 12 36 34 37 33
3400,1,0.3230894207954407,0.4184180489479291,36 23 45 13 35 37 34 38
3500,1,0.3006841540336609,0.40516414917319066,35 23 45 13 36 37 34 38
3600,1,0.301505982875824,0.3923300827676878,28 40 18 50 30 31 29 32
3700,1,0.28671225905418396,0.3799025509996571,28 41 18 50 31 32 30 33
3800,1,0.32628515362739563,0.3678686763908121,28 40 18 30 31 29 32 50
3900,1,0.26824072003364563,0.3562159893726279,27 41 17 50 34 33 32 31
4000,1,0.2852790653705597,0.3449324153653037,31 43 20 34 35 33 36 37
4100,1,0.30599185824394226,0.3340062622660164,30 42 20 32 33 31 34 35
4200,1,0.3100385069847107,0.32342620833349656,33 21 44 35 34 36 37 32
4300,1,0.30181682109832764,0.31318129045637755,34 22 45 36 35 37 12 38
4400,1,0.30518993735313416,0.3032608927931576,33 44 21 36 35 37 34 38
4500,1,0.31597793102264404,0.29365473577200474,36 22 46 12 38 37 39 40
4600,1,0.33587121963500977,0.2843528654390072,33 20 45 11 36 37 35 38
4700,1,0.29836520552635193,0.2753456431438301,32 44 19 9 36 35 37 34
4800,1,0.30758532881736755,0.26662373555209185,32 44 20 53 36 37 35 38
4900,1,0.27447426319122314,0.25817810497411076,33 45 20 10 37 38 36 39
5000,1,0.3406691551208496,0.25,36 22 47 11 39 38 40 37
