layer,target,probe_mse,probe_r2
1,exact,0.7557216286659241,0.23560667037963867
1,rowcond,0.21726156771183014,0.4135183095932007
1,unprecond,1.0702025890350342,0.44576138257980347
2,exact,0.08850742876529694,0.9104769825935364
2,rowcond,0.015350528061389923,0.9752852320671082
2,unprecond,0.12515409290790558,0.7268313765525818
3,exact,0.02411869913339615,0.9756045341491699
3,rowcond,0.008670753799378872,0.988201379776001
3,unprecond,0.07819156348705292,0.9555655717849731
4,exact,0.006591598968952894,0.9933327436447144
4,rowcond,0.006905708461999893,0.9913120865821838
4,unprecond,0.0785001888871193,0.8680235147476196
5,exact,0.0030510067008435726,0.9969139695167542
5,rowcond,0.004664380103349686,0.9943912029266357
5,unprecond,0.07218164950609207,0.9581173658370972
6,exact,0.001218362245708704,0.9987676739692688
6,rowcond,0.0034642049577087164,0.995955765247345
6,unprecond,0.07407727092504501,0.8858072757720947
7,exact,0.0007650727056898177,0.9992261528968811
7,rowcond,0.003207331756129861,0.9963331818580627
7,unprecond,0.07083962857723236,0.9585903286933899
8,exact,0.0006011066725477576,0.9993919730186462
8,rowcond,0.0028007582295686007,0.9968475103378296
8,unprecond,0.07632783055305481,0.8870211243629456
