step,train_loss,eval_mse_y,eval_mse_exact_mean,rowcond_last_mse_exact,unprecond_last_mse_exact
1,0.9720987677574158,5.293130874633789,5.2928948402404785,0.026710093021392822,0.25375688076019287
250,0.04017295688390732,0.04949938878417015,0.026610758155584335,0.03426045551896095,0.27993541955947876
500,0.034717828035354614,0.04576828330755234,0.01555740088224411,0.028846876695752144,0.2816345691680908
750,0.029575522989034653,0.02725144475698471,0.00616107601672411,0.02783462405204773,0.2630341053009033
1000,0.03634298965334892,0.03226202726364136,0.00471968250349164,0.02861315943300724,0.2861882150173187
1250,0.021273445338010788,0.029982632026076317,0.004865344148129225,0.026315243914723396,0.3260580897331238
1500,0.027439668774604797,0.030188430100679398,0.0036054453812539577,0.026384912431240082,0.2814999222755432
1750,0.0233016200363636,0.029355410486459732,0.003609868697822094,0.02869805321097374,0.2733426094055176
2000,0.02959711104631424,0.028011946007609367,0.003239976242184639,0.026599887758493423,0.24640688300132751
2250,0.03209147974848747,0.02792549319565296,0.004036678001284599,0.026517855003476143,0.2560410797595978
2500,0.03097624145448208,0.02737848460674286,0.0027186661027371883,0.029745101928710938,0.264825701713562
2750,0.02808527648448944,0.029143573716282845,0.006008998025208712,0.025227975100278854,0.3472013473510742
3000,0.026630453765392303,0.029246333986520767,0.004872739315032959,0.025132350623607635,0.2680192291736603
3250,0.022236645221710205,0.029497269541025162,0.005647856742143631,0.027455152943730354,0.2675212621688843
3500,0.02749263122677803,0.028270864859223366,0.0025323310401290655,0.026273928582668304,0.3558821976184845
3750,0.022949380800127983,0.0317058302462101,0.00562574528157711,0.03099972940981388,0.2862332761287689
4000,0.026873670518398285,0.02310420572757721,0.0016579320654273033,0.02912464365363121,0.2855633795261383
4250,0.035720717161893845,0.027051372453570366,0.002849664306268096,0.03197674825787544,0.27492597699165344
4500,0.027952564880251884,0.027476640418171883,0.0019050997216254473,0.02810068055987358,0.24293635785579681
4750,0.027096182107925415,0.02799362689256668,0.0017822219524532557,0.026851167902350426,0.26054608821868896
5000,0.027496740221977234,0.028831666335463524,0.003964320756494999,0.02690097689628601,0.3008708357810974
5250,0.025126317515969276,0.02442467212677002,0.0012624849332496524,0.027500811964273453,0.2689089775085449
5500,0.03112025558948517,0.028130803257226944,0.00428399071097374,0.027998637408018112,0.2984914779663086
5750,0.02686127834022045,0.027092911303043365,0.005148745141923428,0.02566872537136078,0.3000955283641815
6000,0.029871156439185143,0.02792333997786045,0.0021662251092493534,0.02758112922310829,0.26493778824806213
6250,0.024770427495241165,0.02755771018564701,0.0024622008204460144,0.026218309998512268,0.2735801339149475
6500,0.028746189549565315,0.029518160969018936,0.003246195614337921,0.022685222327709198,0.22927850484848022
6750,0.026718273758888245,0.02614773064851761,0.0019898596219718456,0.026756184175610542,0.2655866742134094
7000,0.02106514200568199,0.024996209889650345,0.0015110288513824344,0.02703930251300335,0.280143141746521
7250,0.026629092171788216,0.028821060433983803,0.004725274629890919,0.029794469475746155,0.28168609738349915
7500,0.029643815010786057,0.027568848803639412,0.0015347329899668694,0.029047545045614243,0.281248539686203
7750,0.02442551963031292,0.02635885775089264,0.001996787264943123,0.027135366573929787,0.3200937509536743
8000,0.02558005228638649,0.02370609901845455,0.0018326942808926105,0.026278262957930565,0.3126169443130493
8250,0.027333974838256836,0.023578360676765442,0.002517774933949113,0.025980958715081215,0.28459736704826355
8500,0.026395779103040695,0.024884561076760292,0.0016795985866338015,0.026590120047330856,0.261188805103302
8750,0.032734792679548264,0.02973991259932518,0.0023233150132000446,0.02848462574183941,0.2913163900375366
9000,0.025065209716558456,0.021414797753095627,0.0007855049334466457,0.03089890256524086,0.3124331831932068
9250,0.023444704711437225,0.02684888429939747,0.0028486528899520636,0.024029619991779327,0.31477347016334534
9500,0.01560003962367773,0.02561021037399769,0.001752894022502005,0.028144456446170807,0.2474912852048874
9750,0.026409413665533066,0.02782921865582466,0.00226432248018682,0.027551528066396713,0.3184177577495575
