tensor,component,fit_start,fit_end,effective_exponent,asymptotic_exponent
V,0000,3000,6000,1.0002348190562427,1
V,0101,3000,6000,1.0012383980316275,1
V,0022,3000,6000,1.002232165851718,1
V,0103,3000,6000,1.00173798681842,1
V,0023,3000,6000,1.0022351266924057,1
V,0123,3000,6000,1.0022380875302153,1
D,0000,3000,6000,2.0002348190562422,2
D,0101,3000,6000,1.9981664217134065,2
D,0022,3000,6000,2.003506975978021,2
D,0103,3000,6000,1.9986890791182046,2
D,0023,3000,6000,1.999208898755206,2
D,0123,3000,6000,1.9992121231031568,2
F,0000,3000,6000,2.0002348190562436,2
F,0101,3000,6000,2.0002414167738913,2
F,0022,3000,6000,1.9945897097348635,2
F,0103,3000,6000,1.9945913651662364,2
F,0023,3000,6000,1.9945913640824344,2
F,0123,3000,6000,1.9945930181313052,2
A,0000,3000,6000,3.0003018986907803,3
A,0101,3000,6000,2.9947884495201698,3
A,0022,3000,6000,3.004751804651533,3
A,0103,3000,6000,2.9953621808307163,3
A,0023,3000,6000,3.000008319228743,3
A,0123,3000,6000,2.996063259298292,3
B,0000,3000,6000,3.000352214466243,3
B,0101,3000,6000,2.9981213210230897,3
B,0022,3000,6000,2.992223716000815,3
B,0103,3000,6000,2.994914793116927,3
B,0023,3000,6000,2.9918082511951702,3
B,0123,3000,6000,2.9915698161973965,3
