sample_size,perturbation_scale,aligned_head,haar_tail,optimal_time,minimum_risk_mean,minimum_risk_std,kramp_time
32,0.0,8192,0,0.1728683984790156,0.5859521118898067,0.0,0.16666666666666666
32,0.0025,10,8182,0.1409633058771827,0.6099274640319367,3.7152036345036757e-06,0.16666666666666666
32,0.0075,6,8186,0.1209619911404487,0.6385486132604345,7.766233847588659e-06,0.16666666666666666
32,0.02,4,8188,0.09863689550356979,0.67586458892874,1.2310246140444323e-05,0.16666666666666666
64,0.0,8192,0,0.1728683984790156,0.4642587958129134,0.0,0.16666666666666666
64,0.0025,10,8182,0.1209619911404487,0.5051387385809027,5.9681034117720784e-06,0.16666666666666666
64,0.0075,6,8186,0.09373181177954762,0.5463766510268762,1.1032463051685947e-05,0.16666666666666666
64,0.02,4,8188,0.07263151388832166,0.5954343386243741,1.646595304998632e-05,0.16666666666666666
128,0.0,8192,0,0.1728683984790156,0.3665635289803028,0.0,0.16666666666666666
128,0.0025,10,8182,0.09373181177954762,0.43050134445027327,8.486663650642406e-06,0.16666666666666666
128,0.0075,6,8186,0.06901964375792202,0.4836216406821371,1.4684020270116745e-05,0.16666666666666666
128,0.02,4,8188,0.050822779737518226,0.542182537436975,2.0762235475439534e-05,0.16666666666666666
256,0.0,8192,0,0.1728683984790156,0.28844830270680255,0.0,0.16666666666666666
256,0.0025,10,8182,0.06901964375792202,0.3798326996328435,1.1308876162082282e-05,0.16666666666666666
256,0.0075,6,8186,0.045893760915663585,0.44281518025814903,1.771792928067014e-05,0.16666666666666666
256,0.02,4,8188,0.03379398060244806,0.5084722126742497,2.4859905017100886e-05,0.16666666666666666
512,0.0,8192,0,0.18191478253666613,0.22613346107628907,0.0,0.16666666666666666
512,0.0025,10,8182,0.04829542941462569,0.34690212168625606,1.420187809911494e-05,0.16666666666666666
512,0.0075,6,8186,0.030516490325152357,0.41714986742460824,2.119006439513864e-05,0.16666666666666666
512,0.02,4,8188,0.02135344264670072,0.48774591686594737,2.849229703769749e-05,0.16666666666666666
1024,0.0,8192,0,0.18191478253666613,0.17651815081898387,0.0,0.16666666666666666
1024,0.0025,10,8182,0.030516490325152357,0.32620379183780024,1.635408231881915e-05,0.16666666666666666
1024,0.0075,6,8186,0.019282490973837323,0.4014542633369007,2.4260653840473827e-05,0.16666666666666666
1024,0.02,4,8188,0.012821654567148613,0.4752729424348284,3.148047225053799e-05,0.16666666666666666
