width,rank,depth,epsilon,theory_fluctuation_scale,deformation_tau,mean_operator_deviation,mean_gap_mixing_index,predicted_mixing_time,optimal_time_mean,optimal_time_std,optimal_time_over_aligned,minimum_risk_mean,minimum_risk_std,minimum_risk_over_aligned,kramp_time
8192,512,1,0.0019529015644199667,0.499971399427763,0.00999942798855526,0.011895138365665914,5.0625,0.177978515625,0.23880995826300042,0.0,1.0,0.35657427760093074,0.0005566177978346319,1.0001464596284633,0.16666666666666666
8192,1024,1,0.000976458230062651,0.3535345152145959,0.007070690304291918,0.008328116665346882,6.0,0.22963966338592295,0.23880995826300042,0.0,1.0,0.3565894143063932,0.0002572692743655792,1.0001889162029547,0.16666666666666666
8192,2048,1,0.0004882365628839933,0.2499885598365476,0.004999771196730952,0.00610875285265915,6.875,0.28166253246757,0.23880995826300042,0.0,1.0,0.3565412431241335,0.0001845255597363354,1.0000538020334264,0.16666666666666666
8192,4096,1,0.00024412572929466444,0.17677130239299887,0.0035354260478599776,0.004088730902773867,8.125,0.3618720831613475,0.23880995826300042,0.0,1.0,0.3565102133772129,0.00014353063433914545,0.99996676745613,0.16666666666666666
8192,8192,1,0.0001220703125,0.125,0.0025,0.003106266838345255,9.125,0.4306945098009784,0.23880995826300042,0.0,1.0,0.35652139184200293,7.72714345252681e-05,0.9999981216582868,0.16666666666666666
8192,512,2,0.0019529015644199667,1.4141326677387966,0.028282653354775932,0.03373787159583622,3.4375,0.09958274335699743,0.23880995826300042,0.0,1.0,0.35656303653140237,0.0010595120765365521,1.0001149298278087,0.16666666666666666
8192,1024,2,0.000976458230062651,0.9999466123669577,0.019998932247339153,0.024695907478128713,4.0,0.125,0.23880995826300042,0.0,1.0,0.356818367293649,0.0008525339190848274,1.0008311008304211,0.16666666666666666
8192,2048,2,0.0004882365628839933,0.7070744235179273,0.014141488470358546,0.016695622279771782,4.8125,0.16495904732158043,0.23880995826300042,0.0,1.0,0.3565021609519611,0.0005601906263072523,0.9999441814057249,0.16666666666666666
8192,4096,2,0.00024412572929466444,0.49998474656506914,0.009999694931301383,0.011905901453021155,5.0625,0.177978515625,0.23880995826300042,0.0,1.0,0.35647669648648145,0.00030126281035262225,0.9998727567500624,0.16666666666666666
8192,8192,2,0.0001220703125,0.3535533905932738,0.007071067811865476,0.008330745051167246,6.0,0.22963966338592295,0.23880995826300042,0.0,1.0,0.35651384977730316,0.00016254845469962178,0.9999769671056968,0.16666666666666666
8192,512,3,0.0019529015644199667,2.5979275984205956,0.05195855196841191,0.06318725561718992,3.0,0.08118988160479113,0.22901664210192768,0.0026115509762860627,0.9589911734321925,0.3547406987297057,0.0015852615936458707,0.9950034991523358,0.16666666666666666
8192,1024,3,0.000976458230062651,1.837019227742737,0.03674038455485474,0.04376115179960998,3.0,0.08118988160479113,0.23228108082228527,0.005223101952572126,0.9726607822881284,0.3563933734136099,0.001836315401735921,0.9996390459033391,0.16666666666666666
8192,2048,3,0.0004882365628839933,1.2989786608436187,0.025979573216872373,0.03106095992451387,3.75,0.11346630897092042,0.23880995826300042,0.0,1.0,0.3559349750689935,0.0010622933452738867,0.9983532956115564,0.16666666666666666
8192,4096,3,0.00024412572929466444,0.9185306311943877,0.018370612623887755,0.021152170606698995,4.0,0.125,0.23880995826300042,0.0,1.0,0.3564436274212065,0.0007672931441130779,0.9997800021386516,0.16666666666666666
8192,8192,3,0.0001220703125,0.649519052838329,0.01299038105676658,0.01606854832414655,4.875,0.1681829461849541,0.23880995826300042,0.0,1.0,0.356394928305332,0.000616638201918833,0.9996434071810549,0.16666666666666666
8192,512,4,0.0019529015644199667,3.999771195422104,0.07999542390844208,0.10009072471677372,2.0,0.04419417382415922,0.22336912523954428,0.005158430772187873,0.9353425915076321,0.35375179209208396,0.0024386228266572154,0.9922297391403267,0.16666666666666666
8192,1024,4,0.000976458230062651,2.828276121716767,0.056565522434335345,0.07035778752581773,2.875,0.07616874492767635,0.22901664210192768,0.0026115509762860627,0.9589911734321925,0.35546443605424327,0.0019157263662820132,0.9970334922514098,0.16666666666666666
8192,2048,4,0.0004882365628839933,1.9999084786923809,0.039998169573847615,0.04865465422337632,3.0,0.08118988160479113,0.23097530533414223,0.004671684407745263,0.967192938745754,0.35639814772573897,0.001985379381396051,0.9996524372545189,0.16666666666666666
8192,4096,4,0.00024412572929466444,1.414170419143991,0.02828340838287982,0.03386716908406133,3.4375,0.09958274335699743,0.23880995826300042,0.0,1.0,0.35603633731877804,0.0009810129242622545,0.9986376041038684,0.16666666666666666
8192,8192,4,0.0001220703125,1.0,0.02,0.024108316142382857,4.0,0.125,0.23880995826300042,0.0,1.0,0.35631585809652117,0.0006522000873556078,0.9994216250885937,0.16666666666666666
8192,512,6,0.0019529015644199667,7.348048887499541,0.1469609777499908,0.20052207991276794,2.0,0.04419417382415922,0.2296695298459992,0.0035680579035729347,0.9617250952033797,0.33843272867841356,0.003818159176993683,0.9492616732969638,0.16666666666666666
8192,1024,6,0.000976458230062651,5.195875012427856,0.10391750024855713,0.137365691331,2.0,0.04419417382415922,0.22336912523954428,0.005158430772187873,0.9353425915076321,0.3483151995455104,0.0032757231738375445,0.9769807738350293,0.16666666666666666
8192,2048,6,0.0004882365628839933,3.674066478796573,0.07348132957593145,0.09164605454605126,2.0625,0.0462818767909558,0.22336912523954428,0.005158430772187873,0.9353425915076321,0.35430152947095445,0.0034341088241127728,0.9937716840526237,0.16666666666666666
8192,4096,6,0.00024412572929466444,2.5979969521804454,0.051959939043608905,0.06547650741262954,2.9375,0.0786659585495237,0.2296695298459992,0.0035680579035729347,0.9617250952033797,0.35532781223858156,0.0019838242569096944,0.9966502794564367,0.16666666666666666
8192,8192,6,0.0001220703125,1.8371173070873836,0.03674234614174767,0.04276910219453979,3.0,0.08118988160479113,0.23489263179857134,0.005223101952572126,0.983596469372877,0.3564612650289948,0.0016084345200829092,0.9998294734328359,0.16666666666666666
