sample_size,tau,repetitions,optimal_time_mean,optimal_time_std,minimum_risk_mean,minimum_risk_std,kramp_time
16,0.0,0,0.19968773874866724,0.0,0.6302644024927209,0.0,0.16666666666666666
16,0.0025,16,0.19968773874866724,0.0,0.6302195348694899,8.274305528504663e-05,0.16666666666666666
16,0.0075,16,0.19968773874866724,0.0,0.6305083576338103,0.0003361339106929574,0.16666666666666666
16,0.02,16,0.19968773874866724,0.0,0.6301838302911626,0.0007975099524936882,0.16666666666666666
32,0.0,0,0.21837449612123241,0.0,0.47929537417702595,0.0,0.16666666666666666
32,0.0025,16,0.21837449612123241,0.0,0.47925227654166636,8.861622650670408e-05,0.16666666666666666
32,0.0075,16,0.21837449612123241,0.0,0.4794679552726886,0.00035087031012801044,0.16666666666666666
32,0.02,16,0.21837449612123241,0.0,0.47909020641429145,0.0007427783610254031,0.16666666666666666
64,0.0,0,0.23880995826300042,0.0,0.35652206151226273,0.0,0.16666666666666666
64,0.0025,16,0.23880995826300042,0.0,0.3564997409676763,9.122559390804627e-05,0.16666666666666666
64,0.0075,16,0.23880995826300042,0.0,0.356654023577192,0.00032440741784518545,0.16666666666666666
64,0.02,16,0.23880995826300042,0.0,0.3564509268507285,0.0007244001881708421,0.16666666666666666
128,0.0,0,0.27310409236303573,0.0,0.25733695923398314,0.0,0.16666666666666666
128,0.0025,16,0.27310409236303573,0.0,0.2573512529045422,8.687719292641996e-05,0.16666666666666666
128,0.0075,16,0.27310409236303573,0.0,0.2575874419817055,0.0003218490859525135,0.16666666666666666
128,0.02,16,0.2619044140043615,0.0029865808956464623,0.258303749995612,0.000616501837854915,0.16666666666666666
256,0.0,0,0.3415501653820898,0.0,0.17729849148862303,0.0,0.16666666666666666
256,0.0025,16,0.3415501653820898,0.0,0.17738119346254028,7.66505957430613e-05,0.16666666666666666
256,0.0075,16,0.3378150796497271,0.006681524479482062,0.17801129118693892,0.000332980310725681,0.16666666666666666
256,0.02,16,0.2986611443053485,0.0,0.1811991866584835,0.000615224921129219,0.16666666666666666
