seed,refinements,method,depth,h_relative,query_relative,coefficient_mse,statistical_query_mse
0,0,trained_head_hb,8,0.6344247981905937,0.631840908507977,0.18400902301073074,0.6105851233005524
0,0,initial_head_hb,8,0.8193043321371078,0.8145852673355138,0.1465433593839407,0.7862020879983902
0,0,trained_head_pcg,8,1.6432280972367153e-05,2.0712345736562132e-05,0.0022266044979915023,0.0008361837390111759
0,0,initial_head_pcg,8,4.375921747623579e-06,9.554852455620072e-07,0.000421120992541546,0.0008214497283915989
0,0,identity_pcg,8,2.202363120318296e-06,5.413388434256177e-07,7.593520695081679e-05,0.0008217318027163856
0,0,identity_pcg_equal_work,8,2.202363120318296e-06,5.413388434256177e-07,7.593520695081679e-05,0.0008217318027163856
0,0,jacobi_pcg_equal_work,8,3.827117211585573e-06,6.747101304088135e-07,0.00014228862164600287,0.0008205807025660761
0,0,oracle_top_pcg,8,1.8211334662510126e-08,3.1290923222642373e-09,3.4248519398261124e-06,0.0008205886842915788
0,0,trained_head_oracle_hb,8,15.912230730056763,16.412077454265052,8.952805399894714,15.81081998348236
0,0,trained_head_oracle_chebyshev,8,0.19814583472907543,0.20300750408762291,0.32723984494805336,0.1960369162261486
0,0,oracle_prompt_esd_polynomial,8,4.0384839019293437e+21,2.0967694858275447e+21,1.1149860636496394e+23,2.0202988895022204e+21
1,0,trained_head_hb,8,0.60622738301754,0.6006795211353946,0.18719072081148624,0.6046582832932472
1,0,initial_head_hb,8,0.818547323346138,0.8216102931407216,0.14445296488702297,0.8279493451118469
1,0,trained_head_pcg,8,2.278210592976393e-05,4.219736997279284e-06,0.002218616056779865,0.0008140956269926392
1,0,initial_head_pcg,8,5.5715168372216795e-06,2.1301221584182435e-06,0.0005349928542273119,0.0008161324294633232
1,0,identity_pcg,8,2.13425286688107e-06,5.201978185310744e-07,7.541843115177471e-05,0.0008122327490127645
1,0,identity_pcg_equal_work,8,2.13425286688107e-06,5.201978185310744e-07,7.541843115177471e-05,0.0008122327490127645
1,0,jacobi_pcg_equal_work,8,3.733008270501159e-06,6.595667262303977e-07,0.00014470049063675106,0.0008135504394886084
1,0,oracle_top_pcg,8,1.845989427984307e-08,2.9859753402902544e-09,3.434665643453627e-06,0.0008122013387037441
1,0,trained_head_oracle_hb,8,14.782610416412354,15.391395285050669,8.153551638126373,15.545793056488037
1,0,trained_head_oracle_chebyshev,8,0.1923337522894144,0.20052704540127675,0.3007679656147957,0.2038433961570263
1,0,oracle_prompt_esd_polynomial,8,6.980128622656881e+19,7.677599965094681e+19,1.1200805876209916e+20,7.753195687950837e+19
2,0,trained_head_hb,8,0.6124225631356239,0.6102236667677833,0.18586680851876736,0.5760525688529015
2,0,initial_head_hb,8,0.8172158822417259,0.8222445149122576,0.14526842162013054,0.7765638157725334
2,0,trained_head_pcg,8,2.488052746230096e-05,6.6093756137418765e-06,0.0032419335329905152,0.000868142036779318
2,0,initial_head_pcg,8,4.702182593518955e-06,2.6080333388120453e-06,0.0004940216658724239,0.0008668340378790163
2,0,identity_pcg,8,2.240773753214853e-06,5.806883477970229e-07,7.190988708316581e-05,0.0008653632467030548
2,0,identity_pcg_equal_work,8,2.240773753214853e-06,5.806883477970229e-07,7.190988708316581e-05,0.0008653632467030548
2,0,jacobi_pcg_equal_work,8,3.838402903966198e-06,6.07241474892627e-07,0.0001393735237797955,0.0008656179852550849
2,0,oracle_top_pcg,8,1.7675089836188818e-08,3.0639170268513996e-09,3.2138478331944498e-06,0.0008658247534185648
2,0,trained_head_oracle_hb,8,16.054652452468872,16.7119999735607,8.912048101425171,15.790053129196167
2,0,trained_head_oracle_chebyshev,8,0.2032836489379406,0.210149999561054,0.3175329566001892,0.20017186924815178
2,0,oracle_prompt_esd_polynomial,8,5.165118599198671e+18,2.168527253904595e+17,1.1045377153288897e+19,2.0483731544761962e+17
