refinements,method,seeds,h_relative_mean,h_relative_std,query_relative_mean,query_relative_std,coefficient_mse_mean,coefficient_mse_std,statistical_query_mse_mean,statistical_query_mse_std
0,identity_pcg,3,2.1924631710135145e-06,4.404681064329452e-08,5.47408319562237e-07,2.506529916956879e-08,7.44211720302701e-05,1.7882350675790804e-06,0.0008331092540174723,2.3134349248721264e-05
0,identity_pcg_equal_work,3,2.1924631710135145e-06,4.404681064329452e-08,5.47408319562237e-07,2.506529916956879e-08,7.44211720302701e-05,1.7882350675790804e-06,0.0008331092540174723,2.3134349248721264e-05
0,initial_head_hb,3,0.8183558583259583,0.0008633038378320634,0.8194800019264221,0.0034707854501903057,0.1454215794801712,0.0008602439193055034,0.7969051003456116,0.022301476448774338
0,initial_head_pcg,3,4.883206656813854e-06,5.046049409429543e-07,1.8978802245328552e-06,6.943491257516143e-07,0.00048337850603275,4.709322456619702e-05,0.0008348054252564907,2.2751459255232476e-05
0,jacobi_pcg_equal_work,3,3.7995093862264184e-06,4.724861213389886e-08,6.471727829193696e-07,2.8904583615485535e-08,0.0001421208871761337,2.177955138904508e-06,0.0008332497091032565,2.306708847754635e-05
0,oracle_prompt_esd_polynomial,3,1.371150039213037e+21,1.8862744386039531e+21,7.245874513786155e+20,9.707824952458462e+20,3.7207217904660987e+22,5.253195863028625e+22,6.993451976796689e+20,9.345886131530414e+20
0,oracle_top_pcg,3,1.8115441591248782e-08,3.2749211675842105e-10,3.0596616351630246e-09,5.850473577817539e-11,3.357788273206097e-06,1.0186023047253911e-07,0.0008328715921379626,2.355164360778872e-05
0,trained_head_hb,3,0.6176915764808655,0.012099457904696465,0.6142479777336121,0.01303595956414938,0.18568885326385498,0.0013050087727606297,0.5970986485481262,0.015077256597578526
0,trained_head_oracle_chebyshev,3,0.19792108237743378,0.004473099950700998,0.2045615166425705,0.004079343285411596,0.315180242061615,0.010934397578239441,0.20001739263534546,0.003188853384926915
0,trained_head_oracle_hb,3,15.58316421508789,0.5690557956695557,16.171823501586914,0.5652669072151184,8.672801971435547,0.36754196882247925,15.715556144714355,0.12033884227275848
0,trained_head_pcg,3,2.1364970962167718e-05,3.5916032175009605e-06,1.051381968864007e-05,7.277134955074871e-06,0.0025623845867812634,0.0004805245844181627,0.0008394738542847335,2.2186681235325523e-05
2,identity_pcg,3,2.1924631710135145e-06,4.404681064329452e-08,5.47408319562237e-07,2.506529916956879e-08,7.44211720302701e-05,1.7882350675790804e-06,0.0008331092540174723,2.3134349248721264e-05
2,identity_pcg_equal_work,3,4.739255032859546e-08,7.456182338216877e-10,8.585532285110276e-09,1.2378813529778654e-09,1.1114555491076317e-05,1.0436752262421578e-07,0.0008328447584062815,2.3564471121062525e-05
2,initial_head_hb,3,0.8615484237670898,8.963535219663754e-05,0.8607390522956848,0.0010438228491693735,0.13332416117191315,0.00048152313684113324,0.8370744585990906,0.0230267196893692
2,initial_head_pcg,3,1.811251770789113e-08,3.221447830714652e-10,3.05702396730112e-09,6.135644770033366e-11,3.3576823170733405e-06,1.0192390220709058e-07,0.00083287333836779,2.3551683625555597e-05
2,jacobi_pcg_equal_work,3,1.0389911864194801e-07,7.23285931147899e-10,6.498771742968756e-09,9.093181763120128e-10,2.1961823222227395e-05,3.490478377443651e-07,0.0008328924886882305,2.351417060708627e-05
2,oracle_prompt_esd_polynomial,3,1.7269082164261818e-08,3.0685673446662065e-10,3.0287277130724988e-09,7.298548571066377e-11,3.187926495229476e-06,1.0031983777025744e-07,0.0008328720577992499,2.3554059225716628e-05
2,oracle_top_pcg,3,1.8115441591248782e-08,3.2749211675842105e-10,3.0596616351630246e-09,5.850473577817539e-11,3.357788273206097e-06,1.0186023047253911e-07,0.0008328715921379626,2.355164360778872e-05
2,trained_head_hb,3,0.6882929801940918,0.0036478883121162653,0.6869096755981445,0.005070959217846394,0.11118819564580917,0.0005619501462206244,0.6681787967681885,0.02208699844777584
2,trained_head_oracle_chebyshev,3,0.077885203063488,0.0002854928025044501,0.07509606331586838,0.0015910130459815264,0.010086203925311565,6.747850420651957e-05,0.07360929250717163,0.0012682880042120814
2,trained_head_oracle_hb,3,0.8644389510154724,0.004190744832158089,0.8240032196044922,0.023667000234127045,0.1087314784526825,0.0008956870879046619,0.8011544346809387,0.01778334751725197
2,trained_head_pcg,3,1.8113071931225022e-08,3.273004367532195e-10,3.054233976840237e-09,6.309609085208834e-11,3.357830792083405e-06,1.0118364457412099e-07,0.0008328754920512438,2.355164906475693e-05
