seed,refinements,step,loss,energy,cvar,query,hb_step,hb_momentum
0,0,1,1.8798816204071045,0.8244597911834717,0.9725268483161926,0.8609164357185364,0.40028300881385803,0.10018013417720795
0,0,200,1.6986067295074463,0.7443535923957825,0.9283633232116699,0.7685804963111877,0.4419340193271637,0.13261418044567108
0,0,400,1.6739448308944702,0.7412586212158203,0.9420087337493896,0.744284451007843,0.48867595195770264,0.1849532574415207
0,0,600,1.6213096380233765,0.7065553665161133,0.9377186894416809,0.727210521697998,0.5447120666503906,0.26584920287132263
0,0,800,1.452437162399292,0.6304464340209961,0.9112415909767151,0.6397424340248108,0.6149016618728638,0.381855845451355
1,0,1,1.8773813247680664,0.831525444984436,0.9656859040260315,0.852718710899353,0.40028300881385803,0.10018013417720795
1,0,200,1.691166877746582,0.787527322769165,0.9443416595458984,0.7147712707519531,0.4433962404727936,0.13409611582756042
1,0,400,1.7147188186645508,0.7504372596740723,0.942939817905426,0.7756935358047485,0.49431270360946655,0.1920851320028305
1,0,600,1.5712904930114746,0.7016690969467163,0.8980454206466675,0.6900123953819275,0.5702850222587585,0.30456748604774475
1,0,800,1.462773323059082,0.619728684425354,0.8857619762420654,0.6658923029899597,0.6496189832687378,0.4384177327156067
2,0,1,1.7916293144226074,0.8057330846786499,0.9437753558158875,0.7971410751342773,0.40028300881385803,0.10018013417720795
2,0,200,1.7630326747894287,0.7719161510467529,0.9619238972663879,0.798731803894043,0.4405302405357361,0.13131430745124817
2,0,400,1.5931466817855835,0.6977894306182861,0.921901524066925,0.7109769582748413,0.4929698407649994,0.1904112547636032
2,0,600,1.5505049228668213,0.6900995373725891,0.9215367436408997,0.676098108291626,0.5549764037132263,0.2813904881477356
2,0,800,1.4942712783813477,0.6460026502609253,0.9427462816238403,0.6597193479537964,0.6379953622817993,0.4202198386192322
0,2,1,1.8954308032989502,0.8576382398605347,0.8949998021125793,0.8587926030158997,0.40028300881385803,0.10018013417720795
0,2,200,1.8625595569610596,0.840621829032898,0.8818312287330627,0.8455714583396912,0.44736120104789734,0.13741295039653778
0,2,400,1.795093297958374,0.8091604113578796,0.866645872592926,0.8126036524772644,0.500188410282135,0.19838683307170868
0,2,600,1.7033040523529053,0.7696670293807983,0.8380995392799377,0.7660170793533325,0.5711487531661987,0.30401620268821716
0,2,800,1.5322120189666748,0.6884217262268066,0.7745412588119507,0.6888821125030518,0.6617305278778076,0.45634952187538147
1,2,1,1.895550012588501,0.8591259121894836,0.8950883150100708,0.8574064373970032,0.40028300881385803,0.10018013417720795
1,2,200,1.8600311279296875,0.8401956558227539,0.8875640034675598,0.8423227071762085,0.4459276795387268,0.13599863648414612
1,2,400,1.7768681049346924,0.8068600296974182,0.8667389154434204,0.7966603636741638,0.5071185827255249,0.20727647840976715
1,2,600,1.682546854019165,0.7653049230575562,0.8330374360084534,0.7506343722343445,0.5744154453277588,0.3087504804134369
1,2,800,1.5391203165054321,0.6936225295066833,0.7699159979820251,0.6915146112442017,0.6540408134460449,0.4428982436656952
2,2,1,1.9020531177520752,0.8623310327529907,0.9098668098449707,0.857748806476593,0.40028300881385803,0.10018013417720795
2,2,200,1.8548169136047363,0.840071439743042,0.8896770477294922,0.8368101119995117,0.4499235153198242,0.1398560106754303
2,2,400,1.7817652225494385,0.8037672638893127,0.8601306080818176,0.8059718012809753,0.5103738307952881,0.21194548904895782
2,2,600,1.6684846878051758,0.7516849040985107,0.8152541518211365,0.7537490129470825,0.5856215357780457,0.327139288187027
2,2,800,1.5250935554504395,0.6863464713096619,0.7652724385261536,0.6856926679611206,0.660971999168396,0.4551549553871155
