step,seed,loss,tau,selected
1,4,0.2784357964992523,1.2495977052722038,45 15 63 30 0 54 37 8
100,4,0.1942453384399414,1.2104047321570373,33 38 26 44 21 50 14 63
200,4,0.16639766097068787,1.1720636925025194,32 36 26 42 20 50 63 12
300,4,0.16710975766181946,1.1349371518356002,31 27 38 21 45 14 53 63
400,4,0.1673814058303833,1.098986639426112,31 37 24 45 16 52 9 63
500,4,0.16917100548744202,1.0641749031509808,32 39 24 46 16 54 8 63
600,4,0.16453364491462708,1.0304658708933632,32 38 24 44 16 52 9 63
700,4,0.18396511673927307,0.9978246131645195,32 39 25 46 16 53 8 63
800,4,0.15579360723495483,0.9662173069096798,32 40 23 48 15 56 6 63
900,4,0.16968987882137299,0.9356112004604039,31 38 23 45 15 53 7 63
1000,4,0.15594354271888733,0.9059745795971195,31 38 23 46 15 54 7 63
1100,4,0.1593240201473236,0.8772767346866686,31 39 23 46 15 53 7 63
1200,4,0.15957999229431152,0.8494879288608139,31 38 24 44 16 52 7 62
1300,4,0.16638582944869995,0.822579367202728,31 39 23 46 14 54 5 63
1400,4,0.18074971437454224,0.7965231669095385,32 39 24 46 15 54 6 63
1500,4,0.1608940064907074,0.7712923284000122,31 38 23 46 14 54 5 63
1600,4,0.17045000195503235,0.7468607073374355,32 24 40 16 49 9 57 0
1700,4,0.1569056361913681,0.723202987538707,33 26 40 18 48 11 57 0
1800,4,0.1524251103401184,0.7002946547415665,33 26 40 18 47 11 56 2
1900,4,0.15319226682186127,0.6781119712027766,34 27 41 18 49 11 59 1
2000,4,0.15525692701339722,0.6566319511009417,33 27 41 18 48 11 56 1
2100,4,0.17056912183761597,0.6358323367184706,33 26 41 17 49 10 58 0
2200,4,0.17549869418144226,0.6156915753780029,33 38 26 18 45 11 53 1
2300,4,0.1727282702922821,0.5961887971094048,34 28 41 19 48 11 57 1
2400,4,0.1637839823961258,0.5773037930241883,33 26 41 17 49 9 58 0
2500,4,0.16390752792358398,0.5590169943749475,33 39 25 17 47 9 56 0
2600,4,0.1679934859275818,0.5413094522781122,34 41 26 17 48 10 57 0
2700,4,0.16536778211593628,0.5241628180790088,34 41 25 16 48 9 57 0
2800,4,0.16331645846366882,0.5075593243388804,32 39 25 17 47 9 56 0
2900,4,0.15874508023262024,0.4914817664241675,32 26 40 18 48 10 57 0
3000,4,0.1497259885072708,0.47591348467896966,31 25 39 18 47 10 56 0
3100,4,0.17136900126934052,0.4608383471622164,31 39 23 15 47 5 57 63
3200,4,0.14968442916870117,0.44624073293165945,32 25 40 17 48 8 57 0
3300,4,0.16597601771354675,0.43210551585736423,31 25 39 18 47 10 55 0
3400,4,0.16712495684623718,0.4184180489479291,31 25 38 18 46 10 54 0
3500,4,0.17530614137649536,0.40516414917319066,31 25 39 18 47 10 56 0
3600,4,0.17517320811748505,0.3923300827676878,31 25 38 18 46 54 11 0
3700,4,0.1620936244726181,0.3799025509996571,31 24 39 17 47 55 9 0
3800,4,0.1681230664253235,0.3678686763908121,31 39 23 46 16 54 8 0
3900,4,0.15743425488471985,0.3562159893726279,32 26 40 18 47 11 55 1
4000,4,0.15399599075317383,0.3449324153653037,32 25 40 17 47 10 55 0
4100,4,0.1553664207458496,0.3340062622660164,32 25 40 17 48 9 56 0
4200,4,0.15427358448505402,0.32342620833349656,32 25 40 18 47 11 55 2
4300,4,0.15003272891044617,0.31318129045637755,33 27 41 20 49 13 57 3
4400,4,0.16620710492134094,0.3032608927931576,32 26 39 20 47 13 56 3
4500,4,0.14635322988033295,0.29365473577200474,31 27 38 21 45 14 54 5
4600,4,0.16417068243026733,0.2843528654390072,32 27 39 21 47 14 56 5
4700,4,0.15985380113124847,0.2753456431438301,32 26 39 20 47 14 56 5
4800,4,0.18325911462306976,0.26662373555209185,32 27 38 21 45 15 54 6
4900,4,0.17779980599880219,0.25817810497411076,32 28 38 22 15 45 6 55
5000,4,0.17217537760734558,0.25,32 28 39 22 15 48 6 57
