tensor,component,fit_start,fit_end,effective_exponent,asymptotic_exponent
V,0000,1000,2000,1.0007048508177663,1
V,0101,1000,2000,1.0040237497994624,1
V,0022,1000,2000,1.0073552046758683,1
V,0103,1000,2000,1.0042149815856194,1
V,0023,1000,2000,1.007241179656952,1
V,0123,1000,2000,1.00588800762118,1
D,0000,1000,2000,2.0007048508177596,2
D,0101,1000,2000,1.996508721153321,2
D,0022,1000,2000,2.011401034510257,2
D,0103,1000,2000,1.9965713418683964,2
D,0023,1000,2000,1.9999947762151435,2
D,0123,1000,2000,1.9985733596332622,2
F,0000,1000,2000,2.0007048508177565,2
F,0101,1000,2000,2.0007630488370762,2
F,0022,1000,2000,1.987906310533,2
F,0103,1000,2000,1.9375331563105833,2
F,0023,1000,2000,1.987478923162012,2
F,0123,1000,2000,1.937547376182384,2
A,0000,1000,2000,3.0009061329608215,3
A,0101,1000,2000,2.9882463459648325,3
A,0022,1000,2000,3.0151876318698525,3
A,0103,1000,2000,2.987344890919571,3
A,0023,1000,2000,3.0027203302755003,3
A,0123,1000,2000,2.990443431452019,3
B,0000,1000,2000,3.0010571490455114,3
B,0101,1000,2000,2.9956215899442307,3
B,0022,1000,2000,2.9822154900818827,3
B,0103,1000,2000,2.957788770094733,3
B,0023,1000,2000,2.980573118896987,3
B,0123,1000,2000,2.9499036729813275,3
