config_name,freq_multiplier,rank,layers,min_loss,min_loss_epoch,min_test_error,final_loss,final_test_error,L_over_freq,L_over_freq_rounded
freq0.3_rank10_L3,0.3,10,3,6.430742814700352e-07,5715,1.925635160660022e-06,1.1505485133511684e-06,2.1278262920532143e-06,10.0,10.0
freq0.3_rank10_L5,0.3,10,5,7.105984352051564e-08,5833,1.4959265399738797e-06,6.161948988392397e-07,1.9926703771488974e-06,16.666666666666668,16.7
freq0.3_rank15_L3,0.3,15,3,3.6029533134751546e-07,5909,1.4637510048487457e-06,9.766429570845504e-07,1.99210489881807e-06,10.0,10.0
freq0.3_rank15_L5,0.3,15,5,9.001826350996111e-09,5991,1.6984275816867012e-06,4.0545483059872824e-08,1.7400961951352656e-06,16.666666666666668,16.7
freq0.3_rank25_L3,0.3,25,3,3.2161360223881276e-07,5928,1.2144852234996506e-06,9.74033360989779e-07,1.8518337583373068e-06,10.0,10.0
freq0.3_rank25_L5,0.3,25,5,1.8131333190396505e-08,5875,1.240112624145695e-06,3.3538268340294053e-07,1.3884000509278849e-06,16.666666666666668,16.7
freq0.6_rank10_L3,0.6,10,3,0.023433470260351898,11915,0.025491580367088318,0.02343408465385437,0.025497235357761383,5.0,5.0
freq0.6_rank10_L5,0.6,10,5,3.2618324397049037e-07,11836,1.538480501039885e-05,3.264678340997307e-07,1.539460390631575e-05,8.333333333333334,8.3
freq0.6_rank10_L8,0.6,10,8,2.0667837418386626e-06,11856,1.4985535926825833e-05,2.0693151725481584e-06,1.498789970355574e-05,13.333333333333334,13.3
freq0.6_rank15_L3,0.6,15,3,0.0008853978652041405,11955,0.0011646688217297196,0.0008855395368300379,0.0011649993248283863,5.0,5.0
freq0.6_rank15_L5,0.6,15,5,5.420447155302099e-06,11974,1.552565663587302e-05,5.424241862783674e-06,1.554074879095424e-05,8.333333333333334,8.3
freq0.6_rank15_L8,0.6,15,8,1.1785118297913398e-10,11979,2.6377807444077916e-05,1.1979002095818813e-10,2.6400208298582584e-05,13.333333333333334,13.3
freq0.6_rank25_L3,0.6,25,3,0.0003681336782392464,11998,0.00046854992979206145,0.0003681548347231001,0.00046864934847690165,5.0,5.0
freq0.6_rank25_L5,0.6,25,5,1.6115632456292773e-08,11957,9.508717994322069e-06,1.6175753447117415e-08,9.530240276944824e-06,8.333333333333334,8.3
freq0.6_rank25_L8,0.6,25,8,1.1832290240931797e-07,11985,1.2489466826082207e-05,1.1839304419059004e-07,1.2519140909716953e-05,13.333333333333334,13.3
freq1.5_rank10_L12,1.5,10,12,1.222300112247467,11880,1.1375617980957031,1.2223207354545593,1.1377489566802979,8.0,8.0
freq1.5_rank10_L24,1.5,10,24,1.6782573103904723,16212,1.616538405418396,1.6782578110694886,1.6165391206741333,16.0,16.0
freq1.5_rank10_L8,1.5,10,8,0.926863569021225,13716,0.8619592189788818,0.9268698692321777,0.8620162010192871,5.333333333333333,5.3
freq1.5_rank15_L12,1.5,15,12,1.2120245158672334,14490,1.1193782091140747,1.2120269060134887,1.1193817853927612,8.0,8.0
freq1.5_rank15_L24,1.5,15,24,1.2429475486278534,13204,1.2396854162216187,1.2429541945457458,1.239758849143982,16.0,16.0
freq1.5_rank15_L8,1.5,15,8,0.660341015458107,13557,0.6274744272232056,0.6603448927402497,0.6276106238365173,5.333333333333333,5.3
freq1.5_rank25_L12,1.5,25,12,1.7447291254997253,14751,1.6158688068389893,1.744731032848358,1.6159803867340088,8.0,8.0
freq1.5_rank25_L24,1.5,25,24,1.9322602033615113,23665,1.8009365797042847,1.9322602987289428,1.8009365797042847,16.0,16.0
freq1.5_rank25_L8,1.5,25,8,0.6626079499721527,13529,0.6680148243904114,0.66261225938797,0.6681318879127502,5.333333333333333,5.3
freq2_rank10_L12,2.0,10,12,1.0192455053329468,17076,1.0048582553863525,1.0192497491836547,1.0048636198043823,6.0,6.0
freq2_rank10_L16,2.0,10,16,1.6475809335708618,14803,1.70452082157135,1.6475820660591125,1.7045470476150513,8.0,8.0
freq2_rank10_L24,2.0,10,24,1.7137556314468383,16276,1.7229925394058228,1.713755762577057,1.7229925394058228,12.0,12.0
freq2_rank15_L12,2.0,15,12,1.763272500038147,14291,1.7560595273971558,1.7632726550102233,1.7560795545578003,6.0,6.0
freq2_rank15_L16,2.0,15,16,1.1411240637302398,15748,1.1132659912109375,1.141133087873459,1.1132780313491821,8.0,8.0
freq2_rank15_L24,2.0,15,24,1.5027223587036134,14360,1.4460415840148926,1.5027236223220826,1.446042776107788,12.0,12.0
freq2_rank25_L12,2.0,25,12,1.8765101552009582,10426,1.8956886529922485,1.8765230178833008,1.895688772201538,6.0,6.0
freq2_rank25_L16,2.0,25,16,1.9628065466880797,24686,1.91658616065979,1.9628066062927245,1.9173965454101562,8.0,8.0
freq2_rank25_L24,2.0,25,24,1.955480146408081,31220,1.9112863540649414,1.9554802775382996,1.911286473274231,12.0,12.0
freq3_rank10_L16,3.0,10,16,1.9838237643241883,10826,1.894883394241333,1.9838287353515625,1.8948842287063599,5.333333333333333,5.3
freq3_rank10_L24,3.0,10,24,1.6813378930091858,14606,1.5832241773605347,1.6813411116600037,1.5832579135894775,8.0,8.0
freq3_rank10_L40,3.0,10,40,2.0046852707862852,199,1.9086599349975586,2.012087869644165,1.9087111949920654,13.333333333333334,13.3
freq3_rank15_L16,3.0,15,16,1.780472958087921,15749,1.686094045639038,1.7804751634597777,1.6861002445220947,5.333333333333333,5.3
freq3_rank15_L24,3.0,15,24,1.8074863314628602,36784,1.7424589395523071,1.8074864625930787,1.7424945831298828,8.0,8.0
freq3_rank15_L40,3.0,15,40,2.0002291560173036,252,1.9086602926254272,2.0120876669883727,1.9087095260620117,13.333333333333334,13.3
freq3_rank25_L16,3.0,25,16,1.971575713157654,57059,1.8837542533874512,1.9715758323669434,1.8837543725967407,5.333333333333333,5.3
freq3_rank25_L24,3.0,25,24,1.6483468294143677,12485,1.6234016418457031,1.6484015583992004,1.6240260601043701,8.0,8.0
freq3_rank25_L40,3.0,25,40,2.0092342019081117,120,1.9086601734161377,2.012087547779083,1.9087073802947998,13.333333333333334,13.3
freq5_rank10_L24,5.0,10,24,2.0104348182678224,493,1.9130971431732178,2.0120880126953127,1.9155442714691162,4.8,4.8
freq5_rank10_L40,5.0,10,40,2.005129301548004,269,1.9130479097366333,2.0120880722999575,1.9155445098876953,8.0,8.0
freq5_rank10_L56,5.0,10,56,2.0056408643722534,302,1.9130481481552124,1.7638673197341968e+31,1.7784265947186887e+31,11.2,11.2
freq5_rank15_L24,5.0,15,24,2.000465619564056,188,1.9076870679855347,2.012087917327881,1.9155501127243042,4.8,4.8
freq5_rank15_L40,5.0,15,40,1.9988673210144043,188,1.9132566452026367,2.012087857723236,1.9155510663986206,8.0,8.0
freq5_rank15_L56,5.0,15,56,1.9978378057479858,188,1.9130542278289795,2.7484535656404253e+32,2.778272465679525e+32,11.2,11.2
freq5_rank25_L24,5.0,25,24,1.9950632214546205,188,1.9130781888961792,2.0120873928070067,1.915583848953247,4.8,4.8
freq5_rank25_L40,5.0,25,40,2.0093764305114745,144,1.9131226539611816,2.012087512016296,1.9155739545822144,8.0,8.0
freq5_rank25_L56,5.0,25,56,2.010589528083801,101,1.9132863283157349,2.012087571620941,1.9155726432800293,11.2,11.2
freq7_rank10_L40,7.0,10,40,2.0101452350616453,1772,1.9320675134658813,2.012089657783508,1.9327934980392456,5.714285714285714,5.7
freq7_rank10_L56,7.0,10,56,2.008643364906311,477,1.9320679903030396,2.012089741230011,1.932794451713562,8.0,8.0
freq7_rank10_L80,7.0,10,80,2.0131211280822754,276,1.932155728340149,,,11.428571428571429,11.4
freq7_rank15_L40,7.0,15,40,2.004259932041168,153,1.9320677518844604,2.0120887398719787,1.9327746629714966,5.714285714285714,5.7
freq7_rank15_L56,7.0,15,56,2.007613813877106,273,1.9320653676986694,2.012088894844055,1.9327789545059204,8.0,8.0
freq7_rank15_L80,7.0,15,80,2.0101119756698607,273,1.9320645332336426,2.012088751792908,1.932775855064392,11.428571428571429,11.4
freq7_rank25_L40,7.0,25,40,2.011707675457001,259,1.932142734527588,2.0120874643325806,1.9327386617660522,5.714285714285714,5.7
freq7_rank25_L56,7.0,25,56,2.01109094619751,259,1.932069182395935,,,8.0,8.0
freq0.050_rank10_L3,0.05,10,3,2.1757771951253708e-05,66,4.864877701038495e-05,0.008220388764040727,0.00196903757750988,60.0,60.0
