name,model,optimizer,dim,target,freq,depth,width,rank,steps,batch_size,lr,seed,fix_wb,nparams,ntrainable,final_train_mse,test_mse,test_max_error,grad_effective_rank,grad_top_singular,grad_spectral_slope,weight_effective_rank,weight_spectral_slope,elapsed_sec
mmnn_muon_chirp1d_d1_f8_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,muon,1,chirp1d,8,3,512,10,20000,1024,0.003,0,True,33823,15903,0.0009898582939058542,0.0003388224577065557,0.08214575052261353,1.351901081415491,0.13404360227286816,-2.188746876999075,6.223572131871181,-0.2802462408411408,60.80542206764221
mmnn_muon_chirp1d_d1_f8_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,muon,1,chirp1d,8,3,512,10,20000,1024,0.003,0,False,33823,33823,0.0011128874029964209,0.00042467861203476787,0.05034458637237549,1.6043379899499763,0.0629794312408194,-2.227532454681699,6.643750120915367,-0.2253046150959396,107.50153589248657
mmnn_muon_chirp1d_d1_f8_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,muon,1,chirp1d,8,6,512,10,20000,1024,0.003,0,True,66109,31293,0.000875595142133534,0.0007687257020734251,0.09030735492706299,1.4571351194511752,0.06041893056992974,-2.0966348082641235,7.116386092710326,-0.28653386477413545,103.40682196617126
mmnn_muon_chirp1d_d1_f8_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,muon,1,chirp1d,8,6,512,10,20000,1024,0.003,0,False,66109,66109,0.00035448273411020637,0.0008378431666642427,0.1037178635597229,1.5647125168094544,0.018670837195324048,-2.25948416779646,7.183828242338242,-0.2621515030610448,190.6572687625885
mmnn_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,muon,1,chirp1d,16,3,512,10,20000,1024,0.003,0,True,33823,15903,0.003348330967128277,0.0034917290322482586,0.19371289014816284,1.3940344566744196,0.3848542310297489,-2.193786057019384,6.015424965681843,-0.30791076588176236,60.05620837211609
mmnn_muon_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,muon,1,chirp1d,16,3,512,10,20000,1024,0.003,0,False,33823,33823,0.0012104089837521315,0.0017600201535969973,0.1790444254875183,2.2873979972943856,0.09294123784638941,-1.5206830167427563,7.025180909769104,-0.1649267367759276,107.12941122055054
mmnn_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,muon,1,chirp1d,16,6,512,10,20000,1024,0.003,0,True,66109,31293,0.0017727329395711422,0.003130658995360136,0.22597311437129974,1.7545484307626935,0.13991319334932736,-2.0292799620511484,7.386386749276994,-0.23756728199926502,101.90933060646057
mmnn_muon_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,muon,1,chirp1d,16,6,512,10,20000,1024,0.003,0,False,66109,66109,0.0013850140385329723,0.003451163414865732,0.20881527662277222,1.9323324410005038,0.06365118089265057,-1.757720924836143,7.621921654263884,-0.2012100259557675,189.4835286140442
mmnn_muon_chirp1d_d1_f32_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,muon,1,chirp1d,32,3,512,10,20000,1024,0.003,0,True,33823,15903,0.06415749341249466,0.05196943134069443,0.8529484272003174,1.2543119913442313,1.9159730076789856,-2.704731577212863,6.319306838510214,-0.26699495824026537,60.69976615905762
mmnn_muon_chirp1d_d1_f32_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,muon,1,chirp1d,32,3,512,10,20000,1024,0.003,0,False,33823,33823,0.014047810807824135,0.018403761088848114,0.5293879508972168,2.411316021763228,0.8843847904354334,-1.496362224154935,6.727453628389833,-0.21666313385236255,107.62683510780334
