step,train_cond,eval_cond,loss,eval_mse_post,eval_mse_true,eval_rel_post,dual_diag_same_depth_mse,primal_jac_same_depth_mse,layer0_mse,layerlast_mse,score_corr_linear_kernel,attn_entropy_last
1,10.0,10.0,0.873569130897522,0.7975350022315979,0.801515519618988,0.8946716785430908,0.039666853845119476,0.0007186486618593335,0.9659460783004761,0.7975350022315979,0.17930112779140472,4.851820468902588
250,10.0,10.0,0.17373138666152954,0.18168503046035767,0.18365360796451569,0.4202654957771301,0.042472343891859055,0.0008175090188160539,0.8270031213760376,0.18168503046035767,-0.02840714529156685,4.851067543029785
500,10.0,10.0,0.12111691385507584,0.12099605798721313,0.12316609174013138,0.34448522329330444,0.04351469874382019,0.0006919893203303218,0.8071780204772949,0.12099605798721313,-0.00012161082122474909,4.8510918617248535
750,10.0,10.0,0.10444743186235428,0.10769269615411758,0.10976770520210266,0.32193753123283386,0.04095838963985443,0.000701321114320308,0.8232719302177429,0.10769269615411758,0.020667366683483124,4.851070880889893
1000,10.0,10.0,0.10781674087047577,0.10385449975728989,0.10530289262533188,0.315548837184906,0.04111680015921593,0.0007338049472309649,0.8129725456237793,0.10385449975728989,0.04062996804714203,4.851025581359863
1250,10.0,10.0,0.10442966222763062,0.10121040046215057,0.1027979776263237,0.3102383613586426,0.04236481338739395,0.0007696845568716526,0.7924779653549194,0.10121040046215057,0.0556773841381073,4.850955009460449
1500,10.0,10.0,0.08813093602657318,0.09829791635274887,0.0999542623758316,0.3066956400871277,0.043885327875614166,0.0007243836298584938,0.7624508142471313,0.09829791635274887,0.0775069072842598,4.8508620262146
1750,10.0,10.0,0.07725176960229874,0.08080383390188217,0.0821218192577362,0.27931472659111023,0.04019865393638611,0.0006681837840005755,0.6702706813812256,0.08080383390188217,0.11109890788793564,4.850674629211426
2000,10.0,10.0,0.06546206027269363,0.06345243752002716,0.06474307179450989,0.2486702799797058,0.04204666614532471,0.0006750074098818004,0.5337280035018921,0.06345243752002716,0.14047271013259888,4.850353240966797
2250,10.0,10.0,0.04517466947436333,0.04485009238123894,0.0459146574139595,0.20734471082687378,0.04118829593062401,0.0006529632373712957,0.4128653407096863,0.04485009238123894,0.1824001967906952,4.8499040603637695
2500,10.0,10.0,0.027542658150196075,0.028372088447213173,0.02937532588839531,0.16427487134933472,0.04243030399084091,0.0006910668453201652,0.37550684809684753,0.028372088447213173,0.2241877317428589,4.849470615386963
2750,10.0,10.0,0.016514331102371216,0.016491301357746124,0.017389222979545593,0.12246230244636536,0.04302692413330078,0.0007258717669174075,0.37695443630218506,0.016491301357746124,0.23380014300346375,4.849208831787109
3000,10.0,10.0,0.0166335366666317,0.009000535123050213,0.009611014276742935,0.09042495489120483,0.042730674147605896,0.0008007584838196635,0.40781527757644653,0.009000535123050213,0.22158823907375336,4.849240303039551
3250,10.0,10.0,0.005380081944167614,0.005425384268164635,0.006055425852537155,0.07098625600337982,0.04025375843048096,0.0006557322340086102,0.39519286155700684,0.005425384268164635,0.19808006286621094,4.84932804107666
3500,10.0,10.0,0.006048123352229595,0.004847741220146418,0.005421735346317291,0.06700418889522552,0.040389448404312134,0.0006945360219106078,0.40448227524757385,0.004847741220146418,0.18412017822265625,4.849354267120361
3750,10.0,10.0,0.004956542048603296,0.005078665912151337,0.005766198970377445,0.06929470598697662,0.043751850724220276,0.0007836386212147772,0.4158913493156433,0.005078665912151337,0.1779787242412567,4.849394798278809
4000,10.0,10.0,0.004660651087760925,0.005029093008488417,0.005692383274435997,0.06726972758769989,0.04203043133020401,0.0007291858200915158,0.4151782989501953,0.005029093008488417,0.16989576816558838,4.849396705627441
4250,10.0,10.0,0.0044836788438260555,0.004511875566095114,0.005200882442295551,0.06461995840072632,0.040928252041339874,0.0007310110959224403,0.39893126487731934,0.004511875566095114,0.1636505126953125,4.849375247955322
4500,10.0,10.0,0.0044700028374791145,0.004238269291818142,0.00493827648460865,0.06254740804433823,0.04139610379934311,0.0006378102698363364,0.3952518701553345,0.004238269291818142,0.15516647696495056,4.849379062652588
4750,10.0,10.0,0.003947864286601543,0.004174527246505022,0.00484385434538126,0.0626446008682251,0.04124770686030388,0.0006418919074349105,0.3919524550437927,0.004174527246505022,0.14032451808452606,4.8493733406066895
5000,10.0,10.0,0.003835038747638464,0.004125135950744152,0.004830699414014816,0.06127702444791794,0.042956385761499405,0.0007629974279552698,0.3895455002784729,0.004125135950744152,0.1363188624382019,4.8493475914001465
5250,10.0,10.0,0.0037490124814212322,0.0037716226652264595,0.004390431568026543,0.059880759567022324,0.039226777851581573,0.0006588397664017975,0.367076575756073,0.0037716226652264595,0.12418149411678314,4.849307537078857
5500,10.0,10.0,0.004191170446574688,0.0037227123975753784,0.004416780546307564,0.0575220063328743,0.040657345205545425,0.0007008780958130956,0.3826155364513397,0.0037227123975753784,0.1338566541671753,4.849279403686523
5750,10.0,10.0,0.003723059082403779,0.003534306539222598,0.004188316874206066,0.05629676580429077,0.044304750859737396,0.0007289534551091492,0.40261784195899963,0.003534306539222598,0.1291794776916504,4.849308013916016
