tensor,component,fit_start,fit_end,effective_exponent,asymptotic_exponent
V,0000,100,300,1.0057584779453683,1
V,0101,100,300,1.0341560525345421,1
V,0022,100,300,1.0589886494417928,1
V,0103,100,300,1.0350728121349766,1
V,0023,100,300,1.0591649374513132,1
V,0123,100,300,1.0486150212545207,1
D,0000,100,300,2.0057584779453643,2
D,0101,100,300,1.9961506502138524,2
D,0022,100,300,2.082570972916859,2
D,0103,100,300,1.9960339444262243,2
D,0023,100,300,2.0236849023468455,2
D,0123,100,300,2.0123124769687344,2
F,0000,100,300,2.005758477945362,2
F,0101,100,300,2.0090932887009414,2
F,0022,100,300,1.9666773395922896,2
F,0103,100,300,1.7390167739787876,2
F,0023,100,300,1.9639221362569774,2
F,0123,100,300,1.7398243446644472,2
A,0000,100,300,3.007396594008023,3
A,0101,100,300,2.953880806151983,3
A,0022,100,300,3.1041198176945115,3
A,0103,100,300,2.9498690673074894,3
A,0023,100,300,3.0404121019367927,3
A,0123,100,300,2.970378777277008,3
B,0000,100,300,3.008628929644635,3
B,0101,100,300,2.9794262895273778,3
B,0022,100,300,2.9339589350799824,3
B,0103,100,300,2.76075093456084,3
B,0023,100,300,2.9130854883984494,3
B,0123,100,300,2.7250310277592638,3
